concentration,mu_h(c)
0.241516848,0.5748229
0.385128474,0.4451943
0.522354049,0.25583425
0.325338752,0.5696019
0.448030797,0.43076003
0.549654974,0.24386501
0.40539321,0.55415595
0.429599423,0.40431494
0.357995447,0.5336031
0.0126,-0.7405398
0.0126,-0.6865001
0.0126,-0.63811135
0.0126,-0.6065378
0.0126,-0.81577563
0.0126,-0.7522397
0.0126,-0.70015335
0.0126,-0.8798821
0.0126,-0.8111887
0.081918792,0.48894668
0.154661635,0.5771489
0.396183485,0.6007321
0.03802092,0.4997549
0.364243425,0.5857675
0.190666659,0.597353
0.325182202,0.5117326
0.030020901,0.59215045
0.074978981,0.52467406
0.0126,-0.40243554
0.0126,-0.40084386
0.0126,-0.41383457
0.0126,-0.4403081
0.0126,-0.47440147
0.0126,-0.46706247
0.0126,-0.47765112
0.0126,-0.5421946
0.0126,-0.5319574
0.049381529,0.28116727
0.08012194,0.35111237
0.334578362,0.43713522
0.110560338,0.2897787
0.284429592,0.35995173
0.110456027,0.4449141
0.237630814,0.30436945
0.113515248,0.3738916
0.090191121,0.32352972
0.013396238,-0.259063
0.014442516,-0.29887176
0.014250188,-0.3410666
0.0126,-0.38466692
0.0126,-0.3178861
0.0126,-0.35581565
0.0126,-0.39824295
0.0126,-0.37820935
0.0126,-0.41543698
0.076244429,0.20480514
0.086849448,0.23939538
0.221802634,0.27842212
0.109634837,0.22208977
0.178327364,0.25771737
0.119582515,0.29754353
0.143008997,0.24137211
0.146704815,0.27795267
0.160673534,0.26214623
0.033673157,-0.2292614
0.015959364,-0.26686358
0.0126,-0.30109787
0.0126,-0.3336277
0.027300577,-0.27867317
0.015115997,-0.3176341
0.0126,-0.3550589
0.017512987,-0.3301351
0.012623947,-0.37130523
0.115936287,0.18476748
0.137835475,0.20946121
0.154376843,0.23516846
0.124936398,0.200135
0.151352908,0.2254188
0.160673534,0.25169253
0.134067817,0.21605897
0.164787591,0.24190831
0.150589426,0.23240256
0.012605893,-0.1907587
0.0126,-0.20992374
0.0126,-0.22800279
0.0126,-0.24662042
0.0126,-0.23664474
0.0126,-0.25851488
0.0126,-0.28008294
0.0126,-0.28402114
0.0126,-0.30935597
0.081829829,0.17750835
0.101453754,0.19549775
0.126393472,0.21377921
0.093687559,0.19013381
0.116740047,0.2079134
0.141127244,0.22596526
0.111687168,0.20293641
0.133698105,0.22048593
0.124010282,0.21587539
0.0126,-0.20363045
0.0126,-0.16282916
0.0126,-0.12380624
0.0126,-0.21788168
0.013365319,-0.17411447
0.0126,-0.13266778
0.022060133,-0.18658686
0.015412704,-0.14229727
0.025427125,-0.15324926
0.077310771,0.17187452
0.092412132,0.1863966
0.110952393,0.20105958
0.089981458,0.18026114
0.107477105,0.19574237
0.124010282,0.21137929
0.103778265,0.18865967
0.124010282,0.20510554
0.105357702,0.19704962
0.0126,-0.06521559
0.015432178,-0.096188545
0.021753927,-0.12557387
0.012858156,-0.06257582
0.013790533,-0.092307806
0.016769419,-0.1204443
0.0126,-0.060548544
0.013145742,-0.089110374
0.0126,-0.05903554
0.105357702,0.18572497
0.0858592,0.17254663
0.066027007,0.15754628
0.095374738,0.17760992
0.08566709,0.16554546
0.074870497,0.15165067
0.074405003,0.15841985
0.065256089,0.14561749
0.055613089,0.13947129
0.0126,-0.003989458
0.012651225,0.0029985905
0.013096397,0.009904385
0.013647402,0.016707182
0.0126,-0.023682833
0.012617449,-0.01736021
0.012968115,-0.01116848
0.0126,-0.044066668
0.012635671,-0.038494825
0.035710466,0.103889704
0.050270927,0.121584654
0.064707315,0.13946915
0.036263982,0.10086393
0.050732936,0.11922908
0.066027007,0.13778543
0.035245312,0.09753585
0.03604899,0.116546154
0.03604899,0.093892336
0.019174798,0.051310778
0.021017033,0.06540966
0.02696591,0.07960868
0.015438424,0.040355206
0.016770667,0.054352045
0.015735362,0.068416834
0.013523924,0.02883172
0.015735362,0.04266715
0.064230064,0.015430689
0.072240913,0.027714014
0.074581485,0.034309864
0.050205839,-0.1736033
0.050648305,-0.17720318
0.051660495,-0.17831612
0.023496751,-0.1594522
0.020899249,-0.16597271
0.017435374,-0.17521524
0.029373364,-0.16295576
0.026864823,-0.16891026
0.036368617,-0.16657925
0.013725144,-0.16079521
0.014766422,-0.16789937
0.017712895,-0.15949845
0.020515391,-0.16898632
0.031585976,-0.17684221
0.017923536,-0.16578078
0.052366592,-0.005724907
0.060152885,0.014819384
0.068307115,0.033960104
0.047531661,-0.0064914227
0.054177898,0.014393806
0.041882923,-0.007133484
0.041213895,-0.035152435
0.030666216,-0.06896734
0.036069428,-0.052336454
0.036313336,-0.037687063
0.030248084,-0.070762396
0.039613692,-0.036469698
0.019286682,-0.14400148
0.014346644,-0.18043447
0.020590925,-0.17296767
0.046547049,-0.19536066
0.04736803,-0.20433855
0.03651125,-0.2082479
0.0126,-0.22636867
0.014266635,-0.22798681
0.013872484,-0.24547195
0.036749387,0.053979397
0.039907843,0.035172462
0.040937859,0.014839888
0.050847018,0.053085327
0.05294198,0.03447318
0.066118651,0.052397013
0.02825183,0.04456711
0.026590255,0.034578085
0.026492239,0.023890257
0.032755992,0.024727106
0.02943772,0.013592243
0.03438144,0.0032453537
0.073112578,0.0717566
0.089509971,0.086811066
0.062658042,0.09013772
0.042622586,0.07335663
0.057136167,0.07243824
0.047563359,0.09099221
0.02128149,-0.15479016
0.023568959,-0.1504066
0.02549737,-0.14629126
0.018361162,-0.1541965
0.021589909,-0.14921093
0.01529985,-0.15482259
0.041147263,-0.16794968
0.041928114,-0.17307043
0.041906792,-0.17950463
0.032250896,-0.16784096
0.031143683,-0.17439103
0.024764318,-0.1690824
0.035596893,-0.19009852
0.026935186,-0.20138144
0.023283643,-0.18433523
0.028927627,-0.15921855
0.029816371,-0.16272855
0.026546777,-0.1555059
0.026941138,-0.15960121
0.02556576,-0.15197396
0.036187391,-0.16348934
0.021684617,-0.16253543
0.018554773,-0.15968776
0.019549006,-0.15747643
0.028844165,-0.15362096
0.025620093,-0.15174174
0.035060363,-0.14605331
0.030572919,-0.14427686
0.022106116,-0.14952636
0.026407459,-0.14430952
0.023334453,-0.17055225
0.026287421,-0.16822958
0.018010116,-0.18039322
0.030049539,-0.16016579
0.037912394,-0.15104485
0.036088306,-0.15770817
0.035513169,-0.13273692
0.040089591,-0.13537359
0.038565445,-0.1397748
0.03402,-0.1371901
0.033477283,-0.13982797
0.02957907,-0.14171076
0.012743038,-0.17780066
0.0126,-0.14167929
