step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss,k_std,k_min,k_max
29,adam,0.022511720717433962,0.3084605057393351,1.2777164789938158,9.750539133625646,0.008172555060516442,0.00010898020616056578,0.00012117465455723445,0.0,0.0,0.0,0.0,2.202466180247645,1.4633214473724365,0.04821028932929039,0.17068332433700562,0.5079125165939331,5.684433460235596,0.008011284284293652,0.00011461285612313077,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
30,adam,0.022370726651241703,0.3070635401433514,1.27450644200848,9.655316983499835,0.008131338688995569,0.000110419528115721,0.00012102523525696128,0.0,0.0,0.0,0.0,2.189500012705403,1.4484061002731323,0.04688334837555885,0.17114108800888062,0.5073951482772827,5.634189128875732,0.007921622134745121,0.00011923159763682634,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
31,adam,0.022363721002494136,0.3067617743246017,1.2720762414316977,9.628741448925387,0.008100282505995805,0.00011443620737296559,0.00012128663929029097,0.0,0.0,0.0,0.0,2.185617708390759,1.4373866319656372,0.045956145972013474,0.17110209167003632,0.5061877965927124,5.606478691101074,0.007845123298466206,0.00012080783199053258,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
32,adam,0.022297281892068924,0.3061191968379482,1.2683370690191946,9.55403244879938,0.008089060639782299,0.00011885817319477698,0.00012102332590485833,0.0,0.0,0.0,0.0,2.17620430069585,1.462388277053833,0.04883727803826332,0.17172503471374512,0.514415979385376,5.528872489929199,0.007941070944070816,0.00011823271051980555,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
33,adam,0.022283751277192947,0.30400735620529423,1.2578861598045594,9.464618344460764,0.008018449189201478,0.00011546941987621869,0.00012101610862432168,0.0,0.0,0.0,0.0,2.1598371305773334,1.4140844345092773,0.044198859483003616,0.17068693041801453,0.5014427900314331,5.547099590301514,0.007715743500739336,0.0001259786367882043,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
34,adam,0.022206161051027237,0.3029809017335215,1.2501135026254961,9.402259826660156,0.008055834445141016,0.0001221316424855632,0.00012110539025724716,0.0,0.0,0.0,0.0,2.1485208580570836,1.430594563484192,0.04613827168941498,0.1713862419128418,0.5000343322753906,5.526795864105225,0.007750905118882656,0.00012375909136608243,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
35,adam,0.02215478641371573,0.30205222772013757,1.2430815273715603,9.337459056608138,0.008050218194482787,0.00012388237331423067,0.00012111067682722463,0.0,0.0,0.0,0.0,2.137813206641905,1.4243128299713135,0.04573402181267738,0.17144536972045898,0.5008859038352966,5.484468460083008,0.0076925610192120075,0.0001295144174946472,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
36,adam,0.02219611063839928,0.3001525613569444,1.2366455947199175,9.276208123853129,0.008021661561102636,0.00012581283977675822,0.00012114511651640398,0.0,0.0,0.0,0.0,2.126447385357272,1.4003713130950928,0.0433293916285038,0.17166352272033691,0.49312981963157654,5.4940009117126465,0.007569063454866409,0.00013724151358474046,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
37,adam,0.022099349767931046,0.29851121191055546,1.224974763008856,9.223228270007718,0.008060790267923185,0.00013187672565465852,0.00012117449495558356,0.0,0.0,0.0,0.0,2.112510892652696,1.4213615655899048,0.04571925103664398,0.17233102023601532,0.4974338710308075,5.444695949554443,0.007611215580254793,0.00013826524082105607,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
38,adam,0.02207696834398854,0.29729841793737105,1.214298540546048,9.159249828707788,0.008049901124210126,0.00013614513614635553,0.00012121763199590327,0.0,0.0,0.0,0.0,2.0997778907898934,1.435556411743164,0.047207873314619064,0.1730533391237259,0.5052350759506226,5.387914657592773,0.007620175834745169,0.000141703465487808,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
