x,y,e11_abs_error_t71,e22_abs_error_t71,e12_abs_error_t71
1.198614,28.93994,0.0044596386,0.000109404704,0.0029035336
0.6372354,29.23893,0.0037584524,0.000111655245,0.0027706947
1.2402353,28.290583,0.003954689,0.00047862422,0.0031738593
0.6726658,28.589144,0.003655007,8.7483e-05,0.0027820026
0.72047794,27.940216,0.0020028064,0.000110322406,0.0022330147
16.072948,31.767452,0.0029625883,0.00034497224,0.00040638912
15.945827,31.578735,0.0025629345,0.00027041533,0.000814317
15.818705,31.39002,0.0022381512,0.0002921106,0.0008762528
16.312374,31.782137,0.0032349317,0.00042470044,0.00062557496
16.185835,31.594013,0.0032283878,0.00031511183,0.0005613165
16.059298,31.40589,0.0026290314,0.00031418842,0.0007355737
16.425846,31.609291,0.003219008,0.00043182867,0.00061073294
16.29989,31.42176,0.0034096343,0.0002830862,0.0003999276
16.540483,31.437632,0.0034693899,0.00025874795,0.0003679227
2.4302886,27.107105,0.0025482709,0.001110047,0.0002950675
1.8603517,27.38481,0.0004078471,0.0012694409,0.0011822297
1.2904148,27.662512,0.0018050866,0.0011776106,0.0025691066
1.9325256,26.73807,0.00062218495,0.0011665933,0.00023135019
1.356562,27.014824,0.0004408667,0.00073647575,0.0011370196
0.7805984,27.291578,0.00044474704,0.00013750917,0.0016851558
1.4347628,26.369036,0.00074190646,0.0012472098,0.0009585921
0.8527724,26.64484,0.0015433384,0.00016554761,0.0011683215
0.937,26.0,0.0014786008,0.00019842759,0.0007470019
16.958448,30.716629,0.0038535725,0.00013254245,4.821038e-05
16.825024,30.960714,0.0036394503,0.00017384789,0.00018033013
16.685701,31.201048,0.0034438176,0.0002682953,0.0003506923
16.665253,30.70676,0.0038217572,0.000116226496,7.945532e-05
16.52888,30.948969,0.0036968607,0.00011183671,5.8199745e-05
16.386608,31.187428,0.0035410612,0.00013467541,0.00020698644
16.372057,30.696892,0.0027325116,0.00038075808,0.00041975686
16.232735,30.937225,0.0025804266,0.00039436563,0.0005843381
16.078861,30.687023,0.0021896106,0.0003590166,0.0005544049
2.6549435,25.223146,0.0013597393,0.00079601083,0.00057917513
2.0822957,25.482098,0.00029097963,0.0018356477,0.0022377786
1.5096478,25.741049,0.0007115761,0.0022588538,0.002453221
2.188097,24.841393,1.1532102e-05,0.0007724399,0.0014091304
1.6106178,25.099352,0.0011615991,0.0023384239,0.002764856
1.0331384,25.357311,0.00045253104,0.0025731847,0.002480625
1.7212508,24.459639,0.0015680331,0.0011482367,0.0026910168
1.1389399,24.716606,0.00018492201,0.00081413524,0.0022303213
1.2544043,24.077885,0.0006954926,0.000842117,0.0024145895
16.421799,29.755676,0.0021876167,0.00039699487,0.00035373005
16.779427,29.748188,0.0027521285,0.00032796653,0.00019738777
17.137056,29.7407,0.0039899806,0.0002299872,0.00020860462
17.494684,29.733212,0.004374277,0.00011544209,0.00024532806
16.600681,30.075993,0.002814917,0.000314896,0.00014942978
16.956474,30.067392,0.0038965442,0.00013502722,0.00028549787
17.312267,30.058792,0.004506641,6.2230625e-05,0.00029131724
16.779564,30.39631,0.0037656561,0.00013310602,0.00017704908
17.133522,30.386599,0.00420281,9.0663554e-05,0.00013568252
3.0792994,20.171354,0.004580433,0.0012480803,0.0009946383
2.7153385,20.300205,0.0034701386,0.0012348905,0.001467481
2.3513775,20.429056,0.0026093614,0.0012535406,0.00188504
1.9874164,20.557907,0.0029184185,0.0011470669,0.0016543593
2.8016775,19.89823,0.0040663932,0.0012099314,0.00065338734
2.4381468,20.02715,0.0028170603,0.0010863161,0.0012827639
2.0746162,20.156069,0.0035869996,0.0010878411,0.0012873908
2.5240557,19.625105,0.0031118682,0.0009209383,0.00039463473
2.1609554,19.754093,0.0036702282,0.00070946617,0.00059394917
2.2464337,19.35198,0.0035313442,0.00067413924,0.00024160766
2.8843775,23.369287,0.0015902768,0.000614802,0.0013694937
2.3410532,23.605486,0.0006468827,0.00048706407,0.0020108745
1.7977288,23.841686,0.0017460817,0.00097583904,0.002908553
2.4684913,22.972748,0.0006066754,0.001030579,0.0027652879
1.9225723,23.208395,0.0015927679,0.0009455794,0.0033137912
1.3766532,23.444044,0.0010879636,0.00092473417,0.0028290465
2.0526052,22.576206,0.00026440108,0.0014114399,0.0035670337
1.5040914,22.811304,0.00017782673,0.0009830536,0.0029906863
1.6367188,22.179667,0.0022625453,0.00094548165,0.0025025003
3.0128005,21.665962,0.004614399,0.0017175635,0.0013603775
2.5541067,21.837196,0.0031811981,0.00180835,0.0021696256
2.0954127,22.008432,0.001979516,0.0015778453,0.002795288
2.6710057,21.29661,0.0039576218,0.0014329641,0.001418995
