x,y,grf_interpolated,pred_k
8.29781,32.092987,1.1353617,0.837735
2.3372338,20.843334,1.2316737,0.83712333
20.203913,23.987526,0.89955735,0.7757029
16.47738,30.545753,0.7499857,0.8004592
1.3344506,36.413216,0.9284657,0.87654936
3.4018981,39.61645,0.96714896,0.874757
8.412386,31.883467,1.1379868,0.8368184
21.051062,21.244589,0.95777535,0.7686707
18.191565,28.131802,0.7849532,0.78967357
15.118786,32.953014,0.70631754,0.810247
2.4846144,20.031769,1.2431817,0.83474916
2.2592928,20.621668,1.246059,0.8369011
17.9565,3.3671737,1.1255069,0.75232005
14.706595,18.158833,1.3195361,0.78584105
1.0996363,27.356962,1.1200411,0.8567375
1.3691027,25.582329,1.1767111,0.8515958
1.1295884,25.921032,1.1478167,0.853281
1.4394703,27.140757,1.108611,0.85494286
14.7997465,18.339033,1.3237383,0.78581554
21.023218,12.8232,0.94359505,0.7566626
14.904522,11.4941025,0.9741182,0.7739657
18.00607,28.265575,0.77079564,0.79060394
15.120617,11.386923,0.9653445,0.7730814
17.917757,17.10879,1.0591373,0.77290195
2.1091764,21.421667,1.2436773,0.83927006
18.171684,16.784807,1.0305338,0.7715415
1.0913017,26.961237,1.119212,0.85584795
13.039725,34.983124,0.6870397,0.82279956
10.076519,37.62757,0.8523798,0.8409176
9.482213,21.318575,0.93765193,0.8112049
10.304331,36.99633,0.8358652,0.83867556
1.5231297,36.046196,0.94568235,0.87495023
21.677464,20.47229,0.98071504,0.76548153
15.367172,17.72563,1.3065704,0.782746
1.2002579,30.079184,1.1112126,0.86266315
1.286505,32.412518,1.0518537,0.86768705
3.649778,38.18141,0.9724576,0.8706192
12.920598,13.819971,0.79867923,0.78460926
19.315964,3.9098365,0.970307,0.74930376
18.353813,3.426916,1.0634453,0.75129604
4.8598323,35.420834,1.0001165,0.8594874
17.239792,28.5296,0.76429766,0.79400647
20.302574,5.0314035,0.9421013,0.7481142
17.050081,5.508868,1.0168259,0.75799197
18.49507,8.14935,0.8811675,0.7575738
18.390118,8.334908,0.88175505,0.75815374
20.04029,24.584673,0.89019173,0.7772008
19.324038,26.039219,0.86333853,0.78205895
5.155154,14.143104,1.5807843,0.8124209
21.19128,14.325285,0.945285,0.75825375
4.0316896,37.41239,0.9597341,0.8673198
3.5878868,39.554184,0.9675847,0.8738124
8.479271,9.525189,1.4988716,0.79187715
20.939796,12.651499,0.9409793,0.7566728
2.4205496,19.182835,1.2865202,0.83305806
2.336649,20.215307,1.2541955,0.83569825
12.898905,6.5920634,1.6293845,0.77232856
20.932432,10.209488,0.9543732,0.7533263
13.015707,6.396599,1.6454967,0.77163845
15.709899,4.2932763,1.4259533,0.7601222
2.1211803,24.733551,1.1414603,0.84681153
17.070593,28.857622,0.75974405,0.79522157
15.370323,4.7533784,1.4872121,0.76182675
8.073982,21.642164,0.8637686,0.8172774
18.264256,20.002161,0.91133916,0.77627
3.3468566,16.552681,1.424625,0.82391316
18.44898,19.913414,0.9032601,0.7754883
15.011256,14.182154,1.0782325,0.77804714
2.8456302,39.038548,0.9734938,0.87593466
2.057504,38.62689,0.94555575,0.87841505
1.8605309,38.507008,0.9357407,0.87898743
5.8093762,39.800613,0.98221797,0.86447453
3.5297935,16.443375,1.4440095,0.8230318
2.41459,20.436974,1.2379758,0.8359202
3.9435444,15.571552,1.4753674,0.8196841
15.486274,13.62904,1.0641258,0.77552795
21.780281,18.536404,0.9729197,0.76237464
21.880423,19.119047,0.9819182,0.76288676
7.9999514,21.860859,0.87196976,0.81800914
16.073479,30.995653,0.77182686,0.80286956
20.219355,24.221037,0.90183985,0.77600795
21.052896,13.19695,0.9455273,0.7570943
11.860891,15.725452,0.698771,0.7917427
5.968233,39.68703,0.9847449,0.8635287
11.914803,15.940287,0.70918506,0.7919412
3.3699436,16.768196,1.4390204,0.8243067
15.149408,18.486235,1.3012036,0.7848108
11.102931,25.63239,1.7970327,0.81323856
