x,y,gt_c0,mu_h_at_gt_c0,j0_at_gt_c0,gt_c16,mu_h_at_gt_c16,j0_at_gt_c16,gt_c30,mu_h_at_gt_c30,j0_at_gt_c30,gt_c43,mu_h_at_gt_c43,j0_at_gt_c43,gt_c63,mu_h_at_gt_c63,j0_at_gt_c63,gt_c71,mu_h_at_gt_c71,j0_at_gt_c71
1.6875077,38.458294,0.11733915,0.5161078,0.012170357,0.15174872,0.5851692,0.020118224,0.16947056,0.5993819,0.023865115,0.18913881,0.60290706,0.027253345,0.5010314,-0.002704267,0.016975755,0.7525355,-0.56010914,0.0073716794
1.9828106,38.43858,0.08400594,0.3655901,0.0057813693,0.10904357,0.48836565,0.01037204,0.13745736,0.56418645,0.016819185,0.15251288,0.5860331,0.0202897,0.4612041,0.101410285,0.01914154,0.6971473,-0.47175932,0.009127408
6.447986,38.965843,0.051186837,0.05231142,0.0020677324,0.0822181,0.35396743,0.005511063,0.21293677,0.59361947,0.030009596,0.19443421,0.6020056,0.027997857,0.45908612,0.10690944,0.019264393,0.6548205,-0.38492477,0.010555974
6.6878014,39.15118,0.049878135,0.033699512,0.001969661,0.06699088,0.23352814,0.0035364253,0.19386367,0.6021372,0.027921237,0.18318945,0.6030332,0.026329014,0.4399524,0.15627988,0.02041079,0.6062168,-0.2719305,0.01233342
6.9276166,39.336517,0.04573698,-0.029902458,0.0016805364,0.051703904,0.059483528,0.0021073974,0.16801375,0.5986428,0.023578506,0.16719493,0.59819615,0.023415504,0.416951,0.21464792,0.021876145,0.5515995,-0.13455649,0.014577597
7.167432,39.521854,0.038518015,-0.16141605,0.0012477001,0.03598899,-0.21520877,0.0011155144,0.13843302,0.56593025,0.017047847,0.15540496,0.5890856,0.020931989,0.38245943,0.29923144,0.02423532,0.48901647,0.028791763,0.017601138
6.282333,39.28026,0.049367394,0.026251554,0.0019322798,0.071660206,0.2750039,0.0040803673,0.20112091,0.59987414,0.02883065,0.1985441,0.6008223,0.028523976,0.41787115,0.2123385,0.021815738,0.61883396,-0.3023166,0.011855061
6.5301204,39.48429,0.044572774,-0.049196243,0.0016048277,0.050524574,0.042976618,0.0020176906,0.17186001,0.6004411,0.024325442,0.18264134,0.6029955,0.026239282,0.39127576,0.27801913,0.023616431,0.5581955,-0.15152878,0.014289586
6.777908,39.68832,0.039075125,-0.15016556,0.0012781104,0.03372938,-0.26743054,0.001005215,0.14504507,0.57650733,0.01858819,0.17007037,0.5996655,0.023981823,0.36232275,0.34640187,0.025675392,0.5035201,-0.009229447,0.016849086
6.116679,39.59467,0.046147235,-0.023259163,0.0017077846,0.04808116,0.0070171356,0.0018403168,0.1827115,0.6030009,0.026250804,0.20207866,0.5994823,0.028940082,0.36909986,0.3307404,0.025187865,0.5813363,-0.21034762,0.01331793
