x,y,grf_interpolated,pred_k
14.87011,11.04376,0.966326,0.8105931
12.445708,35.563152,0.7082865,1.3716989
12.742717,35.27314,0.69240254,1.3638974
21.435726,17.2323,0.95923716,1.3212026
21.13829,21.71952,0.96203285,1.3348734
20.398418,23.857399,0.91445374,1.3066739
21.093653,16.464296,0.92658806,1.2829741
14.721857,11.16298,0.966186,0.804414
9.284824,8.369073,1.4475672,0.61946076
19.555624,3.919581,0.9598139,1.1513226
12.439672,18.523376,0.9225834,0.81510854
15.154461,4.79954,1.5223693,0.8133942
16.945705,3.513096,1.2359916,0.93175846
12.321187,18.335072,0.87355775,0.80868775
4.51066,27.004082,0.9129137,1.01302
4.6647487,27.144348,0.9196569,1.0167212
12.647733,24.514181,1.7429159,0.9633553
13.294294,18.989296,1.2056296,0.8467471
1.2871639,36.94928,0.91402334,1.4173361
8.29781,32.092987,1.1353617,1.1923846
2.3372338,20.843334,1.2316737,0.838063
20.203913,23.987526,0.89955735,1.2940997
16.47738,30.545753,0.7499857,1.2704239
1.3344506,36.413216,0.9284657,1.3966944
3.4018981,39.61645,0.96714896,1.5076573
8.412386,31.883467,1.1379868,1.1841198
21.051062,21.244589,0.95777535,1.3208929
18.191565,28.131802,0.7849532,1.2672001
15.118786,32.953014,0.70631754,1.3183138
2.4846144,20.031769,1.2431817,0.81338984
2.2592928,20.621668,1.246059,0.83267474
17.9565,3.3671737,1.1255069,1.0106944
14.706595,18.158833,1.3195361,0.87966144
1.0996363,27.356962,1.1200411,1.0647515
1.3691027,25.582329,1.1767111,0.9999655
1.1295884,25.921032,1.1478167,1.0148401
1.4394703,27.140757,1.108611,1.0524915
14.7997465,18.339033,1.3237383,0.8862129
21.023218,12.8232,0.94359505,1.2664431
14.904522,11.4941025,0.9741182,0.81486964
18.00607,28.265575,0.77079564,1.2616984
15.120617,11.386923,0.9653445,0.8245103
17.917757,17.10879,1.0591373,1.029878
2.1091764,21.421667,1.2436773,0.8577698
18.171684,16.784807,1.0305338,1.043422
1.0913017,26.961237,1.119212,1.0510852
13.039725,34.983124,0.6870397,1.3564918
10.076519,37.62757,0.8523798,1.4341669
9.482213,21.318575,0.93765193,0.829948
10.304331,36.99633,0.8358652,1.4087197
1.5231297,36.046196,0.94568235,1.3812226
21.677464,20.47229,0.98071504,1.3707277
15.367172,17.72563,1.3065704,0.90008384
1.2002579,30.079184,1.1112126,1.1608667
1.286505,32.412518,1.0518537,1.2462044
3.649778,38.18141,0.9724576,1.4503489
12.920598,13.819971,0.79867923,0.75810796
19.315964,3.9098365,0.970307,1.1281364
18.353813,3.426916,1.0634453,1.0438135
4.8598323,35.420834,1.0001165,1.3344486
17.239792,28.5296,0.76429766,1.2334831
20.302574,5.0314035,0.9421013,1.2194443
17.050081,5.508868,1.0168259,0.9315858
18.49507,8.14935,0.8811675,1.0358981
18.390118,8.334908,0.88175505,1.0270107
20.04029,24.584673,0.89019173,1.2935998
19.324038,26.039219,0.86333853,1.2766088
5.155154,14.143104,1.5807843,0.65963465
21.19128,14.325285,0.945285,1.2854015
4.0316896,37.41239,0.9597341,1.4181545
3.5878868,39.554184,0.9675847,1.5045726
8.479271,9.525189,1.4988716,0.6165052
20.939796,12.651499,0.9409793,1.2578083
2.4205496,19.182835,1.2865202,0.7910552
2.336649,20.215307,1.2541955,0.82025415
12.898905,6.5920634,1.6293845,0.70943874
20.932432,10.209488,0.9543732,1.2602836
13.015707,6.396599,1.6454967,0.71347314
15.709899,4.2932763,1.4259533,0.8467512
2.1211803,24.733551,1.1414603,0.96134895
17.070593,28.857622,0.75974405,1.2365826
15.370323,4.7533784,1.4872121,0.8256719
8.073982,21.642164,0.8637686,0.8303757
18.264256,20.002161,0.91133916,1.0897031
3.3468566,16.552681,1.424625,0.717075
18.44898,19.913414,0.9032601,1.1004454
15.011256,14.182154,1.0782325,0.8410672
2.8456302,39.038548,0.9734938,1.487509
2.057504,38.62689,0.94555575,1.4758126
1.8605309,38.507008,0.9357407,1.4724106
5.8093762,39.800613,0.98221797,1.5104138
3.5297935,16.443375,1.4440095,0.7132244
2.41459,20.436974,1.2379758,0.8255494
3.9435444,15.571552,1.4753674,0.6916486
15.486274,13.62904,1.0641258,0.8582652
21.780281,18.536404,0.9729197,1.3644545
21.880423,19.119047,0.9819182,1.3789772
7.9999514,21.860859,0.87196976,0.8361675
16.073479,30.995653,0.77182686,1.2723088
20.219355,24.221037,0.90183985,1.2997483
21.052896,13.19695,0.9455273,1.2696761
11.860891,15.725452,0.698771,0.7538042
5.968233,39.68703,0.9847449,1.5057921
11.914803,15.940287,0.70918506,0.75833935
3.3699436,16.768196,1.4390204,0.7218099
15.149408,18.486235,1.3012036,0.90265876
11.102931,25.63239,1.7970327,0.97191423
7.4508357,39.226246,0.9579641,1.4887524
8.445264,38.71042,0.9357294,1.4705111
15.052545,18.305939,1.3114349,0.89576477
12.61488,30.601444,0.78111315,1.1701542
12.829824,30.568031,0.7676534,1.1726105
13.748081,19.971256,1.3364192,0.87947834
