concentration,mu_h(c)
0.014565145,-0.2512486
0.0126,-0.35343766
0.02467006,-0.25024247
0.013111734,-0.34571385
0.0126,-0.4510851
0.016125792,-0.3437302
0.0126,-0.44288754
0.5981987,-0.5105486
0.573953022,-0.43129432
0.539641652,-0.3268339
0.506189024,-0.2010029
0.608155659,-0.4872644
0.579862063,-0.3992051
0.544555919,-0.2859707
0.626435516,-0.45760155
0.586956011,-0.35901856
0.012605595,-0.45500827
0.012867401,-0.40085912
0.013439441,-0.35562563
0.0126,-0.5458863
0.0126,-0.49054718
0.0126,-0.4446373
0.0126,-0.5810311
0.0126,-0.53384995
0.0126,-0.6230953
0.53033731,-0.26984304
0.56036779,-0.37073082
0.593418463,-0.45083207
0.600068955,-0.39422882
0.646635609,-0.4740051
0.658165197,-0.53117025
0.674765453,-0.49167788
0.699341693,-0.5467918
0.701354967,-0.5586374
0.589790909,-0.36696684
0.637252864,-0.45145053
0.689042155,-0.5145303
0.642586001,-0.45956004
0.6929744,-0.5234164
0.702256706,-0.5666766
0.705427038,-0.53011334
0.71384332,-0.5729872
0.735291036,-0.5779005
0.759078676,-0.5808003
0.758951088,-0.5831467
0.765809379,-0.58499
0.729631082,-0.5409179
0.74781052,-0.54361045
0.747965019,-0.5454154
0.695606176,-0.48572868
0.717124646,-0.48682356
0.656676354,-0.4099828
0.0126,-0.7609124
0.0126,-0.7101836
0.0126,-0.66441774
0.0126,-0.68833804
0.0126,-0.6326902
0.0126,-0.5826843
0.0126,-0.6136751
0.0126,-0.5537853
0.0126,-0.5364425
0.785566078,-0.58799326
0.76369965,-0.5545155
0.734368135,-0.5046617
0.698795287,-0.4397539
0.779968781,-0.58699787
0.759166356,-0.5541011
0.730440871,-0.5057756
0.765809379,-0.5859978
0.754174157,-0.5536381
0.013279502,-0.7597952
0.012877477,-0.8297057
0.012770421,-0.89196324
0.01271372,-0.9479604
0.0126,-0.75329256
0.0126,-0.8247969
0.0126,-0.89088225
0.0126,-0.75208807
0.0126,-0.8250387
0.78787136,-0.5910591
0.793626405,-0.5943098
0.800760492,-0.59745824
0.77013526,-0.56185687
0.775046214,-0.56657684
0.781107376,-0.5721475
0.753989465,-0.5215616
0.759753859,-0.5272485
0.737980219,-0.46616232
0.012658296,-0.9935131
0.01280114,-1.000212
0.012813244,-0.9845655
0.01319202,-0.96753883
0.013305428,-0.96469235
0.013080275,-0.93799305
0.013788709,-0.93919706
0.013782016,-0.924896
0.017741346,-0.90511703
0.730297738,-0.48840773
0.76736345,-0.54180527
0.786506964,-0.57789576
0.754005858,-0.54477096
0.789662913,-0.5821233
0.806854601,-0.5999166
0.777013484,-0.5838525
0.806854601,-0.6009784
0.799373614,-0.60113883
0.012927764,-0.87567115
0.012702081,-0.87715673
0.012610571,-0.8804734
0.0126,-0.88370776
0.01295793,-0.91838884
0.012712335,-0.92460155
0.0126,-0.92935157
0.012895394,-0.9577317
0.012613164,-0.96803284
0.774762334,-0.59952533
0.748750764,-0.59600854
0.726707193,-0.58895767
0.730725988,-0.558143
0.689857372,-0.5465665
0.66606508,-0.5273286
0.663048932,-0.442793
0.622500656,-0.40813994
0.597496191,-0.26397437
0.0126,-0.7029774
0.0126,-0.7115681
0.0126,-0.7362628
0.0126,-0.76377654
0.0126,-0.7663624
0.0126,-0.7746532
0.0126,-0.78876114
0.0126,-0.8280177
0.0126,-0.8300395
0.43112977,0.086797774
0.570341738,-0.2291322
0.652829055,-0.47898847
0.530078469,-0.11587547
0.650842896,-0.41763687
0.706198987,-0.57359457
0.60762983,-0.319174
0.678761108,-0.5431926
0.621427471,-0.48127759
0.013559952,-0.5388961
0.012691491,-0.6224234
0.0126,-0.7061777
0.0126,-0.7711592
0.012678082,-0.62311864
0.0126,-0.6966145
0.0126,-0.7585559
0.0126,-0.7008977
0.0126,-0.7528293
0.241516848,0.507348
0.385128474,0.26296997
0.522354049,-0.13163401
0.325338752,0.4416281
0.448030797,0.118448585
0.549654974,-0.31836605
0.40539321,0.3724211
0.429599423,-0.02074448
0.357995447,0.31048244
0.0126,-0.48881698
0.0126,-0.6162503
0.0126,-0.72191334
0.0126,-0.8030102
0.0126,-0.6062834
0.0126,-0.7157676
0.0126,-0.79784656
0.0126,-0.7036865
0.0126,-0.7865088
0.081918792,0.524627
0.154661635,0.60309064
0.396183485,0.5307318
0.03802092,0.5492977
0.364243425,0.602317
0.190666659,0.5223496
0.325182202,0.56961703
0.030020901,0.5997461
0.074978981,0.58719003
0.0126,-0.47822022
0.0126,-0.5986452
0.0126,-0.69457436
0.0126,-0.7678969
0.0126,-0.6054704
0.0126,-0.70954823
0.0126,-0.78902316
0.0126,-0.71643114
0.0126,-0.80050874
0.049381529,0.33359456
0.08012194,0.42841125
0.334578362,0.5220214
0.110560338,0.36548972
0.284429592,0.46099806
0.110456027,0.54542136
0.237630814,0.40111375
0.113515248,0.4939232
0.090191121,0.43922687
0.013396238,-0.44691062
0.014442516,-0.5310645
0.014250188,-0.59798574
0.0126,-0.65147614
0.0126,-0.56021476
0.0126,-0.637563
0.0126,-0.6983082
0.0126,-0.6696589
0.0126,-0.73744893
0.076244429,0.22181416
0.086849448,0.2889626
0.221802634,0.3630073
0.109634837,0.24858356
0.178327364,0.32092094
0.119582515,0.3977449
0.143008997,0.27977157
0.146704815,0.3560655
0.160673534,0.31459665
0.033673157,-0.36992073
0.015959364,-0.4156506
0.0126,-0.45171452
0.0126,-0.48041654
0.027300577,-0.45883536
0.015115997,-0.50444245
0.0126,-0.5407331
0.017512987,-0.5542731
0.012623947,-0.5985911
0.115936287,0.15286899
0.137835475,0.20233512
0.154376843,0.2564981
0.124936398,0.17460823
0.151352908,0.22719932
0.160673534,0.28407073
0.134067817,0.19892907
0.164787591,0.25434232
0.150589426,0.22555137
0.012605893,-0.28459358
0.0126,-0.30471826
0.0126,-0.32150412
0.0126,-0.3369112
0.0126,-0.34219766
0.0126,-0.36217737
0.0126,-0.3794887
0.0126,-0.40745306
0.0126,-0.42802143
0.081829829,0.11395192
0.101453754,0.1487174
0.126393472,0.18594885
0.093687559,0.13277984
0.116740047,0.16827202
0.141127244,0.20602679
0.111687168,0.1530881
0.133698105,0.18912673
0.124010282,0.17475414
0.0126,-0.29578567
0.0126,-0.25904274
0.0126,-0.2250483
0.0126,-0.30776358
0.013365319,-0.270293
0.0126,-0.23637938
0.022060133,-0.2810254
0.015412704,-0.24642634
0.025427125,-0.25583053
0.077310771,0.09111023
0.092412132,0.11750126
0.110952393,0.14539003
0.089981458,0.103074074
0.107477105,0.13177252
0.124010282,0.16209364
0.103778265,0.115787745
0.124010282,0.14685154
0.105357702,0.12919235
0.0126,-0.19253016
0.015432178,-0.21524906
0.021753927,-0.23608851
0.012858156,-0.1904962
0.013790533,-0.21194553
0.016769419,-0.23157835
0.0126,-0.18780923
0.013145742,-0.20807266
0.0126,-0.18433547
0.105357702,0.10643363
0.0858592,0.08195996
0.066027007,0.056084633
0.095374738,0.09425402
0.08566709,0.0714941
0.074870497,0.04731846
0.074405003,0.061814547
0.065256089,0.03922677
0.055613089,0.03187895
0.0126,-0.1424706
0.012651225,-0.13677502
0.013096397,-0.13029623
0.013647402,-0.12303686
0.0126,-0.15986514
0.012617449,-0.15465069
0.012968115,-0.1487019
0.0126,-0.1764586
0.012635671,-0.17169404
0.035710466,-0.023363829
0.050270927,0.001004219
0.064707315,0.02747202
0.036263982,-0.028259039
0.050732936,-0.0029509068
0.066027007,0.024580479
0.035245312,-0.03276515
0.03604899,-0.0065128803
0.03604899,-0.036926508
0.019174798,-0.087910414
0.021017033,-0.07255721
0.02696591,-0.055574417
0.015438424,-0.1002717
0.016770667,-0.08500886
0.015735362,-0.06812024
0.013523924,-0.11194539
0.015735362,-0.09676361
0.064230064,-0.08989692
0.072240913,-0.07334614
0.074581485,-0.06826162
0.050205839,-0.08675957
0.050648305,-0.09893012
0.051660495,-0.08314705
0.023496751,-0.08566022
0.020899249,-0.10924816
0.017435374,-0.13447309
0.029373364,-0.08759904
0.026864823,-0.11048293
0.036368617,-0.089796305
0.013725144,-0.10828042
0.014766422,-0.1213913
0.017712895,-0.0963521
0.020515391,-0.14490414
0.031585976,-0.15776944
0.017923536,-0.13280821
0.052366592,-0.11258817
0.060152885,-0.09220719
0.068307115,-0.07118535
0.047531661,-0.11310458
0.054177898,-0.09370303
0.041882923,-0.112609625
0.041213895,-0.1380539
0.030666216,-0.15882206
0.036069428,-0.15242553
0.036313336,-0.13514876
0.030248084,-0.15507126
0.039613692,-0.13717055
0.019286682,-0.17722487
0.014346644,-0.17517996
0.020590925,-0.19153285
0.046547049,-0.077353
0.04736803,-0.089883566
0.03651125,-0.080971956
0.0126,-0.14252448
0.014266635,-0.11598921
0.013872484,-0.14306498
0.036749387,-0.052574873
0.039907843,-0.07345462
0.040937859,-0.09364438
0.050847018,-0.051142216
0.05294198,-0.072649
0.066118651,-0.049162388
0.02825183,-0.06457496
0.026590255,-0.07517862
0.026492239,-0.08396578
0.032755992,-0.08442974
0.02943772,-0.09355569
0.03438144,-0.10310602
0.073112578,-0.022399426
0.089509971,0.0012454987
0.062658042,0.0006968975
0.042622586,-0.027112007
0.057136167,-0.02495861
0.047563359,-0.0017979145
0.02128149,-0.07370162
0.023568959,-0.061851025
0.02549737,-0.05013156
0.018361162,-0.0840106
0.021589909,-0.07176566
0.01529985,-0.09560323
0.041147263,-0.07215333
0.041928114,-0.068956375
0.041906792,-0.06789279
0.032250896,-0.05477953
0.031143683,-0.054149866
0.024764318,-0.040475845
0.035596893,-0.06435037
0.026935186,-0.06869984
0.023283643,-0.051385164
0.028927627,-0.065618515
0.029816371,-0.050266504
0.026546777,-0.054370403
0.026941138,-0.039853334
0.02556576,-0.043260574
0.036187391,-0.06871486
0.021684617,-0.13633919
0.018554773,-0.12427235
0.019549006,-0.112706184
0.028844165,-0.11572838
0.025620093,-0.104172945
0.035060363,-0.09564972
0.030572919,-0.078519344
0.022106116,-0.08705497
0.026407459,-0.06318092
0.023334453,-0.15851903
0.026287421,-0.15965676
0.018010116,-0.17949462
0.030049539,-0.13732696
0.037912394,-0.116529465
0.036088306,-0.13836598
0.035513169,-0.03331852
0.040089591,-0.052736282
0.038565445,-0.073593855
0.03402,-0.038772345
0.033477283,-0.057899952
0.02957907,-0.044379473
0.012743038,-0.15409279
0.0126,-0.14004397
0.02035949,-0.1249001
0.0126,-0.13114476
0.014736863,-0.119273186
0.012988502,-0.10504818
0.015597636,-0.15979505
0.021203309,-0.1589179
0.015677533,-0.14312649
0.027505712,-0.10716939
0.022134932,-0.12094545
0.027320528,-0.11729622
0.021049375,-0.13151836
0.029394158,-0.12737417
0.025829498,-0.14465094
0.033909649,-0.056169033
0.020034993,-0.068033695
0.017741166,-0.08003998
0.038265765,-0.08150768
0.017602757,-0.0933404
0.029139656,-0.106254816
0.021329997,-0.04280114
0.019381026,-0.03716898
0.017872,-0.055627346
0.026683055,-0.0381763
0.032114329,-0.013343573
0.036046626,0.011031628
0.018275002,-0.02402711
0.024134904,7.271767e-05
0.017089244,-0.010169506
0.021673696,-0.060678482
0.020647459,-0.05003524
0.017552658,-0.035668135
0.02655565,-0.08007431
0.023047639,-0.05808592
0.019833641,-0.034066677
0.027729221,-0.07552385
0.023254304,-0.05491233
0.027561559,-0.070310116
0.028973623,-0.1008172
0.035306793,-0.09375548
0.030541731,-0.111964464
0.04010399,0.04736495
0.059126124,0.07241297
0.027487015,0.07004428
0.019716643,0.027325153
0.026835466,0.03725505
0.020324452,0.061146498
0.026351255,-0.03050065
0.023921085,-0.02632761
0.024055539,-0.026034594
0.025602702,-0.013113499
0.021796705,-0.011927128
0.026515249,0.0017704964
0.03151954,-0.018365622
0.029502313,-0.024338484
0.028786095,-0.0064969063
0.026365118,-0.0091097355
0.02466494,-0.00018930435
0.02419392,0.0034005642
0.024324809,-0.016038656
0.023156835,-0.011318207
0.022527631,-0.026483297
0.035363478,-0.039382935
0.031458805,-0.02364254
0.024016376,-0.02874875
0.019074489,-0.18790579
0.029170757,-0.16296768
0.023156961,-0.16505909
0.0126,-0.18165922
0.0126,-0.20223427
0.0126,-0.17451286
0.014606603,-0.2004695
0.0126,-0.21729136
0.013150134,-0.19471169
0.045401747,-0.12972093
0.045691295,-0.09934974
0.032693722,-0.06991553
0.036880981,-0.13186765
0.032581245,-0.10138202
0.024649255,-0.13403702
0.047184892,-0.08695936
0.045359279,-0.07836676
0.049117213,-0.10790229
0.037129396,-0.043888092
0.036213005,-0.056227446
0.042675524,-0.0648396
0.030639742,-0.015659332
0.027250832,0.0011348724
0.029447071,0.016970158
0.028680704,-0.025186777
0.022828926,-0.007275343
0.025471775,-0.036688328
0.029443252,-0.0021517277
0.030820339,0.008054018
0.02986633,0.01309514
0.035544283,-0.1504035
0.027514311,-0.16933703
0.021672156,-0.18775296
0.023366915,-0.16283011
0.018309934,-0.18190885
0.015120996,-0.17549157
0.017582317,-0.20982122
0.014280352,-0.22644448
0.017754196,-0.20788431
0.030614243,-0.17316794
0.025225179,-0.18648005
0.019766409,-0.19922686
0.026320403,-0.18383288
0.021818778,-0.19711208
0.021559874,-0.19463706
0.033861095,-0.16602588
0.026698717,-0.17682266
0.035228809,-0.15842247
0.056273322,-0.05461192
0.05978997,-0.0795002
0.045514019,-0.10001302
0.058145677,-0.05288577
0.061031598,-0.07463646
0.044556989,-0.049099684
0.032437194,-0.02025032
0.048900811,-0.03706789
0.041304129,-0.035410404
0.036047455,-0.07291746
0.043833716,-0.06534767
0.050116371,-0.0889771
0.017279329,0.0017175674
0.020234386,0.03738928
0.026459133,0.069601774
0.025878099,0.013943195
0.037129455,0.0477612
0.051179445,0.026456594
0.018023874,-0.039586067
0.017424368,-0.020509958
0.025178287,-0.0066132545
0.021464894,-0.04854703
0.029610378,-0.020110607
0.02744894,-0.048052073
0.03279241,0.11302161
0.04235028,0.13661885
0.044884134,0.13327646
0.044964991,0.09479022
0.051014056,0.11708522
0.060246461,0.07600188
0.02202769,0.0062012672
0.024920882,0.021052122
0.042801144,0.035338163
0.026573035,0.015310526
0.036892216,0.030296564
0.032003702,0.019183636
0.039208097,0.027796268
0.057766563,0.04135275
0.047645914,0.034943342
0.018988988,-0.005033493
0.023955614,-0.019630432
0.016212268,0.009820938
0.01581132,-0.15812206
0.0126,-0.15079951
0.01446522,-0.14319181
0.022897567,-0.12751985
0.014230194,-0.119787455
0.036366976,-0.096894264
0.038548599,-0.13310671
0.023713098,-0.14550138
0.039921508,-0.11517525
0.018510625,-0.11054516
0.020568586,-0.078460455
0.017827884,-0.08755231
0.070934896,-0.097314835
0.061339332,-0.1149683
0.04762197,-0.13268161
0.069027208,-0.09712386
0.052849471,-0.11507249
0.052522857,-0.09698105
0.034311461,-0.06132841
0.017927839,-0.05233431
0.017866544,-0.044113874
0.026110435,-0.027271032
0.02057608,-0.019400597
0.029807036,0.003989458
0.03449736,0.014639854
0.035321338,0.010202646
0.020939759,-0.012565851
0.081164677,0.06409311
0.071309619,0.049632072
0.049264035,0.029222965
0.07170002,0.049924135
0.052929013,0.032859087
0.050327771,0.03417325
0.090299117,0.06100583
0.070564115,0.048763275
0.076137262,0.05147004
0.038763729,-0.15796947
0.04164872,-0.15043068
0.044429815,-0.14247108
0.044894027,-0.14264321
0.049496789,-0.13473463
0.04647884,-0.1272161
0.062653075,-0.10757685
0.057843865,-0.11756778
0.05537101,-0.12501812
0.014466103,-0.20880008
0.012769635,-0.20608282
0.012786609,-0.22371149
0.019083792,-0.19504237
0.022325799,-0.1787808
0.023689134,-0.16260982
0.016482458,-0.19292355
0.018062114,-0.1771338
0.013615547,-0.19068599
0.03171987,-0.16960955
0.02740641,-0.16608644
0.025092392,-0.18261433
0.036037051,-0.15471435
0.037139139,-0.13968396
0.030648654,-0.151505
0.064261744,0.017147064
0.04091264,0.014564037
0.036569742,0.02078247
0.03147272,-0.018035412
0.015913533,-0.005409479
0.021609747,-0.028670311
0.027290229,0.024675608
0.019123599,-0.0029666424
0.026739713,0.015256643
