step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss
32,adam,0.04537562833678338,0.46839667231805865,1.2322280368497294,8.342941991744503,6.633557485392591e-07,0.00046572649866462713,3.9264639940850636e-08,0.0,0.0,0.0,0.0,10.830123286093436,6.7587080001831055,0.2538294196128845,0.2762027978897095,0.5317398905754089,5.198639869689941,1.1019194516848074e-06,0.00038661202415823936,3.724843367081121e-08,0.0,0.0,0.0,0.0
33,adam,0.04597721825684271,0.46959875668248824,1.2225426820016676,8.191469315559633,6.772620710557197e-07,0.00048432785420558387,3.747150363474541e-08,0.0,0.0,0.0,0.0,10.664956308180287,6.786046504974365,0.2583560347557068,0.27848535776138306,0.5347616076469421,5.213617324829102,1.0865541071325424e-06,0.00038707134081050754,3.791184965962202e-08,0.0,0.0,0.0,0.0
34,adam,0.04664301451656126,0.47005562532332634,1.2170470068531651,8.031502969803348,6.623725279232237e-07,0.0005115377322410143,3.5985071381476025e-08,0.0,0.0,0.0,0.0,10.496715176490046,6.716959476470947,0.26545506715774536,0.27870482206344604,0.5373494625091553,5.1300835609436035,1.0493878335182671e-06,0.00042200263123959303,3.588587205172189e-08,0.0,0.0,0.0,0.0
35,adam,0.047371376786501176,0.47239493266228705,1.207542892425291,7.853187699471751,6.43850169566459e-07,0.000538228442066259,3.548081593404247e-08,0.0,0.0,0.0,0.0,10.306350154261436,6.72873592376709,0.26557260751724243,0.2795265316963196,0.5452578663825989,5.125940799713135,1.0419338423162117e-06,0.00045320039498619735,3.3728518644693395e-08,0.0,0.0,0.0,0.0
36,adam,0.04778368362495976,0.47396764928294766,1.2065153468039729,7.677850492538944,6.491389766075196e-07,0.000582555904158301,3.4702341760030026e-08,0.0,0.0,0.0,0.0,10.131212142206007,6.694383144378662,0.2652842402458191,0.2786588668823242,0.5552506446838379,5.071615219116211,1.0222070159215946e-06,0.0005182321183383465,3.300507955827925e-08,0.0,0.0,0.0,0.0
37,adam,0.04840123497190014,0.4761703533511008,1.1994420982176257,7.472061034171812,6.353334924824594e-07,0.000632639940557701,3.2995291946697824e-08,0.0,0.0,0.0,0.0,9.918954418551538,6.662528991699219,0.26375600695610046,0.2813872694969177,0.5632461905479431,5.022061824798584,1.0018187595051131e-06,0.0005715414881706238,3.373211399093634e-08,0.0,0.0,0.0,0.0
38,adam,0.0485378303114445,0.4807086336997248,1.1998328393505466,7.308269485350578,6.388147558174106e-07,0.0006874094965056547,3.251455597953443e-08,0.0,0.0,0.0,0.0,9.762221767056372,6.717164039611816,0.2581273317337036,0.2848406732082367,0.5762004852294922,5.053234100341797,9.88956003311614e-07,0.0006258976645767689,3.1813076617481784e-08,0.0,0.0,0.0,0.0
39,adam,0.04840141859266066,0.48123716442815717,1.201783287909723,7.127429992921891,6.261720680032017e-07,0.0007571183790963503,3.11600728875397e-08,0.0,0.0,0.0,0.0,9.587860507349815,6.591874122619629,0.256076455116272,0.2866046726703644,0.5812122821807861,4.9131927490234375,9.350413279207714e-07,0.0007153538172133267,3.033886741832248e-08,0.0,0.0,0.0,0.0
40,adam,0.04777658538472268,0.48755428194999695,1.2068758010864258,6.947948286610265,6.123602045796184e-07,0.0008274143723200166,3.009467072678079e-08,0.0,0.0,0.0,0.0,9.423884699421544,6.5473127365112305,0.24968287348747253,0.2897319495677948,0.5901715755462646,4.850325107574463,9.016010267259844e-07,0.0007996499771252275,2.8850775990463262e-08,0.0,0.0,0.0,0.0
41,adam,0.047356813304847284,0.4916174738637863,1.2062249818155844,6.804012821566674,5.963996947626114e-07,0.0008973711143968807,3.039066649947589e-08,0.0,0.0,0.0,0.0,9.288531857152138,6.523781776428223,0.24292506277561188,0.29364079236984253,0.5992957353591919,4.805703163146973,8.763016126067669e-07,0.0008908829186111689,2.889725259080933e-08,0.0,0.0,0.0,0.0
42,adam,0.046846352878116795,0.4983530419488107,1.2104964487014278,6.661621493677939,5.728214095172241e-07,0.0009481439258032028,2.8311869723181865e-08,0.0,0.0,0.0,0.0,9.159466220486548,6.773072719573975,0.22998128831386566,0.29931285977363586,0.6193588376045227,5.021066665649414,8.426166004937841e-07,0.0009429114288650453,2.7191017437644405e-08,0.0,0.0,0.0,0.0
43,adam,0.046211844971103054,0.5015006747937971,1.2172295239663893,6.5234184572773595,5.514300629593274e-07,0.0010435267843516363,2.7125776606985417e-08,0.0,0.0,0.0,0.0,9.042414788276918,6.512425899505615,0.22763289511203766,0.3029711842536926,0.613331139087677,4.765517711639404,7.558704737675725e-07,0.0010194028727710247,2.6689937371315864e-08,0.0,0.0,0.0,0.0
44,adam,0.04638884312683536,0.5073281026655628,1.2135439726614183,6.424137407733548,5.172691705792527e-07,0.001101510794532876,2.5967873414302748e-08,0.0,0.0,0.0,0.0,8.950728508733935,6.537208080291748,0.22045831382274628,0.308096319437027,0.6147400736808777,4.77377986907959,7.500159426854225e-07,0.0011158821871504188,2.5522123081600512e-08,0.0,0.0,0.0,0.0
45,adam,0.045994895961015456,0.5147685831592929,1.2217390152715868,6.312090473790323,5.008112551759921e-07,0.0011899290876763483,2.569124480181296e-08,0.0,0.0,0.0,0.0,8.866173113546063,6.426977634429932,0.21625952422618866,0.3106253743171692,0.6160815954208374,4.6616716384887695,6.678795330117282e-07,0.001162706408649683,2.473673532676912e-08,0.0,0.0,0.0,0.0
46,adam,0.045763799980763464,0.5183763004118397,1.220487048549037,6.193287926335489,4.728900052903613e-07,0.001258806535793889,2.444854091219983e-08,0.0,0.0,0.0,0.0,8.756131972036053,6.358868598937988,0.21246851980686188,0.3153621256351471,0.6168637871742249,4.581930160522461,6.2074627749098e-07,0.001241108519025147,2.3539945104289473e-08,0.0,0.0,0.0,0.0
47,adam,0.04587466329816849,0.5238399149910096,1.2220077437739219,6.102622432093466,4.430479236816609e-07,0.001343168896592913,2.3648946829498086e-08,0.0,0.0,0.0,0.0,8.684156771629088,6.412070274353027,0.20733648538589478,0.32006004452705383,0.6208086609840393,4.616661548614502,5.879996365365514e-07,0.0013137890491634607,2.722136294153188e-08,0.0,0.0,0.0,0.0
48,adam,0.045994666795576775,0.5307257271582081,1.217095511574899,6.004881874207528,4.1674174751953554e-07,0.0013849928584550658,2.3519564675761864e-08,0.0,0.0,0.0,0.0,8.590575710419685,6.266988277435303,0.20565980672836304,0.32212984561920166,0.6179144382476807,4.469214916229248,5.335248829396733e-07,0.0013846089132130146,2.5607469922306336e-08,0.0,0.0,0.0,0.0
49,adam,0.04606445121669,0.5326794107114116,1.214373800062364,5.910584449768066,3.957028411605279e-07,0.001483786550741042,2.326458750376919e-08,0.0,0.0,0.0,0.0,8.50900553118798,6.250239849090576,0.2024644911289215,0.32686176896095276,0.6217774152755737,4.431180953979492,5.05410810092144e-07,0.0014795364113524556,2.1191558730038196e-08,0.0,0.0,0.0,0.0
50,adam,0.046386400538106116,0.5370721413243201,1.2145669729478898,5.817969629841466,3.7403623218045637e-07,0.0015761459681896432,2.120998785922864e-08,0.0,0.0,0.0,0.0,8.434143773971066,6.315338134765625,0.19787940382957458,0.3311428725719452,0.6215223670005798,4.477049827575684,5.029252747590363e-07,0.001577541115693748,2.1572219566223794e-08,0.0,0.0,0.0,0.0
51,adam,0.04654822366372231,0.5424089845149748,1.211904022001451,5.746207744844498,3.5314829002316164e-07,0.0016322908171963308,2.266745306151792e-08,0.0,0.0,0.0,0.0,8.37174492497598,6.134536266326904,0.19728483259677887,0.3327557146549225,0.6209291815757751,4.293160438537598,4.488220781695418e-07,0.0016432363772764802,2.0098536168688952e-08,0.0,0.0,0.0,0.0
52,adam,0.046726343131834464,0.5444480882536981,1.2054473392425045,5.653505571426884,3.347072443434187e-07,0.001712628775426457,2.143356740836841e-08,0.0,0.0,0.0,0.0,8.284204959869385,6.249013900756836,0.19186586141586304,0.3379877209663391,0.6254269480705261,4.373353481292725,4.498587031775969e-07,0.001782369683496654,2.0484302254430986e-08,0.0,0.0,0.0,0.0
53,adam,0.046854944839592905,0.5471867611331325,1.2009663062710916,5.588808490384009,3.1608694019181007e-07,0.0017737486069240877,1.990227756075749e-08,0.0,0.0,0.0,0.0,8.225419752059445,6.156757831573486,0.18989013135433197,0.3391095995903015,0.6215685606002808,4.280242919921875,4.2230769281559333e-07,0.0018432476790621877,1.8476242757969885e-08,0.0,0.0,0.0,0.0
54,adam,0.04695133600504168,0.5498223429726016,1.2004647562580724,5.509951668400919,2.9551192197217345e-07,0.0018599498078166958,1.8556438221143284e-08,0.0,0.0,0.0,0.0,8.161009388585244,6.102731227874756,0.18651171028614044,0.34075966477394104,0.621640145778656,4.2212910652160645,3.931104686216713e-07,0.0018985300557687879,1.965243079382617e-08,0.0,0.0,0.0,0.0
55,adam,0.047236586049679785,0.552888265540523,1.1956915009406306,5.461228001502253,2.694867200789891e-07,0.001907051815050504,1.8039523824551996e-08,0.0,0.0,0.0,0.0,8.116545907912716,6.104935646057129,0.18261399865150452,0.34372106194496155,0.6198378801345825,4.200744152069092,3.8625017850790755e-07,0.0020451650489121675,1.7261131191048662e-08,0.0,0.0,0.0,0.0
56,adam,0.047433477616117846,0.553387213137842,1.1925466810503313,5.390936482337214,2.539452260231384e-07,0.001996078487155178,1.7216446075226045e-08,0.0,0.0,0.0,0.0,8.05658515807121,6.061068058013916,0.17915195226669312,0.3456043004989624,0.6216669082641602,4.156188488006592,3.483827129002748e-07,0.002062734682112932,1.6482667675177254e-08,0.0,0.0,0.0,0.0
57,adam,0.047534015750692736,0.5582104680999633,1.1896992537283129,5.335058119989211,2.3051410334662044e-07,0.0020862314699878616,1.694308853790326e-08,0.0,0.0,0.0,0.0,8.016550479396697,6.0131096839904785,0.17754718661308289,0.345445841550827,0.6177845597267151,4.104885101318359,3.306020346371952e-07,0.002129703527316451,1.7992080714179792e-08,0.0,0.0,0.0,0.0
58,adam,0.04766438889407342,0.558674487375444,1.1892238874589243,5.2916049649638515,2.1222448349216128e-07,0.0021405899071044497,1.969524698169732e-08,0.0,0.0,0.0,0.0,7.981235965605705,6.100767612457275,0.1747034341096878,0.3490432798862457,0.6241014003753662,4.1389689445495605,3.3930660947589786e-07,0.0023633658420294523,1.5802092079297836e-08,0.0,0.0,0.0,0.0
59,adam,0.04798291479387591,0.5601221572968268,1.1872907646240727,5.259680917186122,1.9427326488737656e-07,0.002213713119647676,1.731002810623933e-08,0.0,0.0,0.0,0.0,7.961132326433735,6.027674198150635,0.17218869924545288,0.3504699468612671,0.6175520420074463,4.08581018447876,3.0695929353896645e-07,0.002322400687262416,1.558989737304728e-08,0.0,0.0,0.0,0.0
60,adam,0.04806582449424651,0.5579588211351826,1.1829783916473389,5.210689836932767,1.802816722000634e-07,0.0022316682152450085,1.69964514147446e-08,0.0,0.0,0.0,0.0,7.905906554191343,6.017390727996826,0.17320169508457184,0.3469238579273224,0.629465639591217,4.042026042938232,2.8909110483255063e-07,0.002449430525302887,1.4749514498646477e-08,0.0,0.0,0.0,0.0
61,adam,0.04791567726962028,0.5605969159833847,1.1818807701910696,5.164442769942745,1.7284600474912653e-07,0.002342748042616633,1.5823662896115176e-08,0.0,0.0,0.0,0.0,7.879526722815729,6.0190534591674805,0.17323501408100128,0.3500625491142273,0.6265670657157898,4.03367280960083,2.8426410381143796e-07,0.0025055177975445986,1.8258020872963243e-08,0.0,0.0,0.0,0.0
62,adam,0.04807833233667958,0.5586089366866697,1.1740617944348244,5.122531844723609,1.620666703348111e-07,0.0023922767234785904,1.8749442285486714e-08,0.0,0.0,0.0,0.0,7.833927877487675,5.949696063995361,0.17387759685516357,0.34941062331199646,0.6291478872299194,3.9630160331726074,2.579585611783841e-07,0.0025150266010314226,1.7913176719730473e-08,0.0,0.0,0.0,0.0
63,adam,0.047742931112166376,0.5598966613892586,1.1729603544358285,5.0800111063065065,1.5480583582053265e-07,0.002430737011074539,1.824400455797287e-08,0.0,0.0,0.0,0.0,7.796082742752567,6.010022163391113,0.17241448163986206,0.34806978702545166,0.6206458210945129,4.027454853057861,2.5696650141071586e-07,0.0025447558145970106,1.3588101310801903e-08,0.0,0.0,0.0,0.0
64,adam,0.047734756743715655,0.5581848688663975,1.1696663441196564,5.057353950315906,1.4663120667489326e-07,0.002473935056778212,1.3363710740161277e-08,0.0,0.0,0.0,0.0,7.774883885537425,5.932061195373535,0.17392627894878387,0.34855449199676514,0.6219316124916077,3.9272239208221436,2.533506062718516e-07,0.002668939996510744,1.246235026286513e-08,0.0,0.0,0.0,0.0
65,adam,0.047581809783174146,0.5588056310530631,1.1728022483087355,5.032665760286393,1.450358745790753e-07,0.0024995496947198144,1.691822378248734e-08,0.0,0.0,0.0,0.0,7.757871027915709,5.936424255371094,0.1767403781414032,0.3488224148750305,0.6347211003303528,3.9089343547821045,2.391621194419713e-07,0.002694531809538603,1.185428288863477e-08,0.0,0.0,0.0,0.0
66,adam,0.04745193474715756,0.5602986389590848,1.1644373632246448,5.002659059339954,1.4039462409835968e-07,0.002558588651159117,1.2588972187280257e-08,0.0,0.0,0.0,0.0,7.729079000411495,5.967992782592773,0.17390599846839905,0.3477763533592224,0.621656596660614,3.9565069675445557,2.3045915042985143e-07,0.0027018629480153322,1.2232944435197624e-08,0.0,0.0,0.0,0.0
67,adam,0.047491720967715784,0.5586867976573205,1.1633248905981741,4.972253768674789,1.340102660525454e-07,0.002616518913137336,1.2297283879364283e-08,0.0,0.0,0.0,0.0,7.705237403992684,5.9581780433654785,0.17562910914421082,0.3483376204967499,0.6286362409591675,3.9348437786102295,2.155243521428929e-07,0.0027129047084599733,1.4154752037143226e-08,0.0,0.0,0.0,0.0
68,adam,0.04748695283647506,0.5583900915038201,1.1676374250842678,4.966491545400312,1.2915551260741797e-07,0.002645853951933884,1.6360819537862515e-08,0.0,0.0,0.0,0.0,7.709483854232296,5.874606609344482,0.1761740744113922,0.34679630398750305,0.6175438761711121,3.855015754699707,2.168789876577648e-07,0.002787752076983452,1.7392505213820186e-08,0.0,0.0,0.0,0.0
69,adam,0.04732136416339105,0.5604260448486574,1.1605378100948949,4.947356731660904,1.272409930251225e-07,0.002629670329512127,1.3211177270435318e-08,0.0,0.0,0.0,0.0,7.679813123518421,5.840237617492676,0.1780766397714615,0.3453279435634613,0.6184418201446533,3.8103315830230713,2.1696260432690906e-07,0.0028439005836844444,1.274935090833651e-08,0.0,0.0,0.0,0.0
70,adam,0.04700683405803096,0.5552593758029323,1.1570841343172136,4.915633401563091,1.2660431120674465e-07,0.00271901567917197,2.0865154106278655e-08,0.0,0.0,0.0,0.0,7.653819945550734,5.98253059387207,0.17629069089889526,0.34776371717453003,0.6280932426452637,3.9399397373199463,1.957325537205179e-07,0.0028148647397756577,1.8336624663106704e-08,0.0,0.0,0.0,0.0
