concentration,mu_h(c)
0.017582317,-0.28346872
0.014280352,-0.29862094
0.017754196,-0.2900982
0.030614243,-0.2605679
0.025225179,-0.26679254
0.019766409,-0.27181602
0.026320403,-0.2723596
0.021818778,-0.27851582
0.021559874,-0.28400803
0.033861095,-0.2612059
0.026698717,-0.27295852
0.035228809,-0.26027393
0.056273322,-0.2323029
0.05978997,-0.21141958
0.045514019,-0.17033458
0.058145677,-0.2126193
0.061031598,-0.1764257
0.044556989,-0.1793871
0.032437194,-0.2288158
0.048900811,-0.23182821
0.041304129,-0.2159729
0.036047455,-0.0742991
0.043833716,-0.13364506
0.050116371,-0.1265018
0.017279329,0.15950727
0.020234386,0.20803523
0.026459133,0.23900437
0.025878099,0.15052462
0.037129455,0.1972351
0.051179445,0.14153719
0.018023874,0.04974556
0.017424368,0.10801196
0.025178287,0.10048127
0.021464894,-0.01745081
0.029610378,0.0382061
0.02744894,-0.08164191
0.03279241,0.2624352
0.04235028,0.26853776
0.044884134,0.2501626
0.044964991,0.24017
0.051014056,0.23343182
0.060246461,0.20874548
0.02202769,-0.2167623
0.024920882,-0.20901084
0.042801144,-0.19880652
0.026573035,-0.20171475
0.036892216,-0.19535875
0.032003702,-0.18212008
0.039208097,-0.1682384
0.057766563,-0.18150258
0.047645914,-0.15443778
0.018988988,-0.2199409
0.023955614,-0.20225668
0.016212268,-0.20828462
0.01581132,-0.27241206
0.0126,-0.26611948
0.01446522,-0.25726056
0.022897567,-0.24346757
0.014230194,-0.2353046
0.036366976,-0.21306396
0.038548599,-0.24588919
0.023713098,-0.259341
0.039921508,-0.23080564
0.018510625,-0.22189713
0.020568586,-0.18689585
0.017827884,-0.20126891
0.070934896,-0.2075746
0.061339332,-0.22469401
0.04762197,-0.2414453
0.069027208,-0.21095276
0.052849471,-0.22856879
0.052522857,-0.21277332
0.034311461,-0.17707562
0.017927839,-0.1655755
0.017866544,-0.15412831
0.026110435,-0.14499807
0.02057608,-0.13752913
0.029807036,-0.12210536
0.03449736,-0.12551641
0.035321338,-0.12168932
0.020939759,-0.1326387
0.081164677,-0.13066673
0.071309619,-0.11673331
0.049264035,-0.11301899
0.07170002,-0.13200283
0.052929013,-0.12081146
0.050327771,-0.13298512
0.090299117,-0.15596056
0.070564115,-0.15593839
0.076137262,-0.18045521
0.038763729,-0.24836326
0.04164872,-0.24819303
0.044429815,-0.24644303
0.044894027,-0.23559642
0.049496789,-0.23462105
0.04647884,-0.22228861
0.062653075,-0.21391296
0.057843865,-0.21883798
0.05537101,-0.23041224
0.014466103,-0.2634654
0.012769635,-0.2504146
0.012786609,-0.2682886
0.019083792,-0.2610078
0.022325799,-0.24593186
0.023689134,-0.23050022
0.016482458,-0.24897313
0.018062114,-0.23415184
0.013615547,-0.23614407
0.03171987,-0.25106454
0.02740641,-0.24102712
0.025092392,-0.2566111
0.036037051,-0.23922515
0.037139139,-0.22683787
0.030648654,-0.22954345
0.064261744,0.08427501
0.04091264,0.024702072
0.036569742,-0.031065702
0.03147272,-0.026966095
0.015913533,-0.08444238
0.021609747,-0.1360631
0.027290229,-0.18167758
0.019123599,-0.16713142
0.026739713,-0.12105417
0.022606733,0.17414618
0.036370485,0.17728543
0.067211811,0.16665864
0.019099436,0.1968131
0.041421532,0.20861745
0.036462155,0.21582437
0.047912543,0.06861067
0.055845545,0.11980724
0.03531157,0.14108014
0.048677112,0.20854855
0.054374542,0.20283961
0.02975624,0.18123198
0.024444643,0.16470313
0.023009782,0.17634892
0.02752482,0.19219875
0.066294094,-0.18021727
0.047561681,-0.15099907
0.054145909,-0.08303738
0.050946785,-0.15485525
0.056995728,-0.11488938
0.038461882,-0.123045206
0.070750284,-0.14145017
0.075440028,-0.16450238
0.042622359,-0.14260197
0.063333692,-0.14054942
0.071500318,-0.16420007
0.060389876,-0.1884737
0.049391795,-0.13342333
0.047197196,-0.1547761
0.030723508,-0.12673569
0.081392743,-0.1852231
0.077762296,-0.18754339
0.075534033,-0.1625309
0.067473597,-0.19737267
0.059554873,-0.18694997
0.049048824,-0.17633104
0.058928095,-0.20321178
0.049229591,-0.19230103
0.048497839,-0.2076745
0.061365808,-0.1655848
0.072221391,-0.17550755
0.069945961,-0.15337133
0.053149644,-0.10860133
0.043871428,-0.1059978
0.047695994,-0.10611868
0.061910827,-0.08732629
0.069540144,-0.09207773
0.075589462,-0.07975006
0.085776749,-0.11197281
0.087317731,-0.094896555
0.069767026,-0.10337114
0.078758612,-0.11991477
0.058783892,-0.122437716
0.094534979,-0.09862733
0.0126,-0.21869254
0.0126,-0.20009422
0.0126,-0.22068381
0.034827573,-0.20605922
0.025016905,-0.18947244
0.016053045,-0.17262363
0.029046453,-0.20999026
0.020303601,-0.19282389
0.023528749,-0.21214819
0.035506572,-0.17682576
0.024236097,-0.17558408
