x,y,grf_interpolated,pred_k
12.517705,17.640785,0.8455484,0.97210264
12.685186,17.841648,0.9047776,0.9701899
11.605306,20.321178,1.0566349,0.96708816
16.242828,4.255839,1.3430239,1.0010617
11.760441,20.463978,1.0900666,0.9655074
10.346283,22.459187,1.0628433,0.9665021
10.250137,22.255968,1.0397668,0.9679524
12.398728,19.301748,1.0190204,0.9661112
20.975687,12.331566,0.9413759,0.93915534
12.741656,19.153906,1.0749074,0.96450216
15.886783,32.150654,0.7581556,0.8976735
11.298934,22.627941,1.3141369,0.95971835
10.351514,22.031002,1.0397663,0.9682157
10.698141,21.188173,1.0377862,0.96941876
11.070689,21.230465,1.1171378,0.966835
10.780841,23.682901,1.3438482,0.9587748
7.746753,21.914204,0.86114943,0.98583513
20.635271,6.0537577,0.951464,0.9638593
12.083445,19.762877,1.0311372,0.9662731
12.128824,19.544998,1.0086336,0.9668653
10.955166,22.288166,1.1781437,0.96328217
10.943516,21.837812,1.1485647,0.96518314
10.577131,22.017889,1.0777423,0.96681094
10.584709,22.482117,1.1028849,0.9648733
12.1142235,18.388086,0.84579015,0.9716801
12.627415,18.932188,1.0211565,0.96613413
4.3684974,37.12438,0.9546082,0.9475444
4.4913635,37.31004,0.9507752,0.94607836
10.668105,22.724968,1.1391485,0.9633533
13.4815645,26.580269,1.187005,0.9309798
10.685895,21.810036,1.089538,0.9669563
10.119509,7.7555943,1.4512191,1.0305935
10.714181,22.265785,1.1185656,0.96491945
20.480831,5.9099383,0.9465733,0.9654055
12.669211,6.5765057,1.6294346,1.0172585
17.478971,19.257761,1.0289712,0.93482727
18.558437,4.2783766,0.98049235,0.98457944
5.90457,12.889327,1.6141592,1.0378846
12.62693,19.325909,1.0668204,0.9645447
12.460672,19.852533,1.0905777,0.96348524
18.386005,7.610593,0.8818828,0.9730812
3.5805225,37.7814,0.96760297,0.9502178
18.73917,4.4664154,0.95441955,0.98260754
7.2621946,32.402664,1.1797268,0.9468015
20.76568,12.364218,0.93616295,0.9403098
3.7833445,33.293583,0.9780199,0.96578676
3.4191747,33.457886,0.97738326,0.96754986
14.869598,10.421625,0.96805614,0.98586977
14.638267,10.351275,0.9582648,0.9877376
21.41156,16.216118,0.9492953,0.9229855
17.735886,16.761965,1.0868767,0.9425898
17.592155,16.59,1.1059959,0.94410926
15.452085,19.076548,1.2545286,0.9477466
10.771155,26.21613,1.7850932,0.94879675
14.514875,11.090123,0.95691276,0.9855722
14.5422125,11.4451475,0.96895736,0.983942
10.770418,28.355198,1.6219518,0.9405189
1.1283853,28.134739,1.1345994,1.0043837
10.924598,28.178078,1.6310624,0.94025624
20.960546,11.998186,0.94147354,0.9404313
10.86758,7.3314185,1.4572395,1.0270356
10.902547,22.772333,1.2050881,0.96166223
11.060136,22.551863,1.2281003,0.96154547
11.910091,12.195556,0.771448,0.9988604
11.345319,25.585648,1.8256365,0.9477022
11.564785,36.3751,0.76082695,0.90676826
1.2721305,32.02363,1.0590113,0.98755795
21.765224,20.142004,0.9855287,0.90765584
16.392315,9.653615,0.9145815,0.9785994
16.293013,9.472562,0.9251479,0.97998726
14.321743,18.334011,1.3249884,0.9577044
14.881119,17.973434,1.3113132,0.9555958
6.768199,20.237833,0.82984644,0.99956495
6.6099434,19.930079,0.8033522,1.0019675
18.109798,7.346267,0.88392264,0.97595525
7.385116,14.638013,1.3361231,1.01974
21.32406,16.432268,0.9437506,0.9227322
4.051842,19.913902,0.92853975,1.0195713
12.431667,24.655005,1.7825878,0.9446391
10.74047,7.54622,1.4728235,1.0270247
5.891966,13.128095,1.6175133,1.036905
21.146992,13.950285,0.94686055,0.93241566
15.433811,4.5470786,1.472294,1.0057093
17.984917,16.454983,1.0602145,0.942226
1.3915802,32.213924,1.0529232,0.9859918
17.994116,16.666872,1.0560708,0.9413805
5.715884,34.988808,1.0375212,0.94683784
5.5084753,34.998684,1.0315368,0.9481209
11.637936,36.162792,0.75431216,0.90708405
18.562366,8.496438,0.8842388,0.9685395
11.153322,23.55546,1.4390504,0.9569258
1.7612875,25.622229,1.1476442,1.0106138
10.924588,23.488037,1.3413627,0.95864385
8.942994,28.40475,1.5075461,0.95165884
8.743061,28.42807,1.467005,0.95282763
7.367743,10.478444,1.5305545,1.038302
7.2660923,14.255657,1.4687312,1.0222576
8.339872,20.3383,0.8260565,0.9885284
11.8593645,36.123024,0.753804,0.90597934
8.388108,20.555061,0.8385037,0.9872877
5.4546185,39.831497,0.9775972,0.9310037
17.142073,13.409386,1.123107,0.9590198
17.055435,13.206041,1.1165044,0.9603582
13.931789,14.407724,1.0061158,0.9759854
21.102703,13.575285,0.9469428,0.9339968
14.174627,14.362935,1.0361025,0.97455984
2.3057039,25.424566,1.0450817,1.0077296
2.1603348,25.613125,1.0671867,1.0079231
2.1631684,25.176188,1.09718,1.0097598
10.837237,24.358082,1.5424968,0.9557203
15.041917,14.600747,1.0995398,0.9679122
14.906384,14.412695,1.084102,0.96954757
1.2954013,33.205673,1.0321113,0.982718
6.4132123,26.347239,0.92776865,0.97623056
17.122133,8.01392,0.9042024,0.980086
21.684536,19.955957,0.9851097,0.9087104
21.822704,19.813953,0.9882282,0.9084533
4.264231,19.481028,0.89273334,1.0200086
8.243993,27.206213,1.3376937,0.96083957
15.280457,11.560947,0.96016514,0.978493
14.74014,11.3866,0.9721014,0.9828385
7.5831933,10.378022,1.5534514,1.037216
12.550246,23.949114,1.7482979,0.946658
12.701733,23.790573,1.7203016,0.94634444
9.072268,37.921024,0.9113166,0.91576725
15.702323,32.207478,0.7463919,0.8984533
5.706843,34.629105,1.0577254,0.9482402
17.58812,3.417705,1.1563276,0.9947316
5.79597,35.194317,1.0252386,0.94556457
14.524769,33.533047,0.6641713,0.9002175
15.764165,13.147175,1.0418104,0.9689647
4.543776,36.38723,0.96715075,0.9491319
9.9091835,21.544132,0.96275026,0.97309244
9.678011,21.6872,0.97273767,0.97401357
6.7138987,11.495269,1.5961589,1.0384066
8.076367,9.466789,1.4653358,1.0377436
8.805697,8.620388,1.4293276,1.036259
6.6170216,26.301949,0.93899703,0.97507346
19.146349,5.3196316,0.91683924,0.9765846
12.915652,29.47722,0.85095334,0.9235415
13.069859,29.315012,0.8466576,0.923243
15.332533,17.98176,1.3069105,0.95273274
11.227243,7.154885,1.4592946,1.0251997
15.571031,18.151049,1.2943995,0.95058995
8.096962,26.702822,1.2861359,0.9638028
7.9333305,26.867523,1.2615734,0.9641958
19.278269,25.338963,0.8526917,0.90312177
7.6025724,21.750221,0.8518464,0.9874903
11.9277115,12.653727,0.77508336,0.99680394
8.235893,30.165667,1.2952743,0.94925535
1.1640041,35.183285,0.9636678,0.97591424
8.105481,29.987736,1.3175725,0.95076567
13.977676,5.762817,1.5782498,1.011229
5.666825,25.218782,0.7650889,0.9858555
5.8311605,25.071646,0.75243944,0.98537165
9.455715,21.555876,0.9624015,0.9760151
11.421721,25.994951,1.8472623,0.94563466
18.582096,27.44168,0.8117293,0.8995915
19.861227,24.948309,0.8818154,0.9014084
13.619367,13.608389,0.93750733,0.98133147
5.6782784,13.234105,1.6077124,1.0379322
1.396186,33.41415,1.0261484,0.9812195
10.671679,37.129345,0.80787766,0.90924037
13.878429,5.9596667,1.5739651,1.0111285
20.800964,8.609488,0.9461718,0.95354915
19.317347,5.4911327,0.92100495,0.97477585
18.994606,4.1404567,0.9705852,0.9820638
1.3022156,32.807083,1.0431827,0.98424363
7.6384935,22.114052,0.8705235,0.98571575
1.5907778,25.230368,1.1973035,1.0134485
16.466257,31.23156,0.75223297,0.8977463
17.285074,5.4855084,0.98499316,0.9888302
1.570603,25.479362,1.1806526,1.0125268
16.669928,30.892109,0.7497308,0.89783156
16.4701,31.00304,0.74942464,0.89850193
10.747952,36.917698,0.79981333,0.90953094
15.07498,13.384663,1.0447645,0.9725519
17.088396,29.527397,0.7415125,0.9002848
15.01365,32.559704,0.7161217,0.9009167
1.2672184,33.60848,1.019109,0.98132735
1.1790444,34.808475,0.97614354,0.97725624
12.316796,30.019272,0.86994517,0.9250358
1.4072908,32.60849,1.0457085,0.9843196
20.57748,23.493763,0.92606306,0.902601
4.9349976,14.238218,1.5634825,1.0386455
1.242136,36.60121,0.9215259,0.96999437
12.718715,30.158329,0.8058358,0.92219055
