step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda,interp_c_lambda,interp_e11_lambda,interp_e22_lambda,interp_e12_lambda
49,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
50,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
51,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
52,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
53,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
54,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
55,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
56,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
57,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
58,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
59,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
60,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
61,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
62,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
63,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
64,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
65,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
66,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
67,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
68,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
69,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
70,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
71,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
72,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
73,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
74,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
75,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
76,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
77,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
78,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
79,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
80,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
81,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
82,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
83,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
84,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
85,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
86,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
87,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
88,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
89,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
90,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
91,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
92,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
93,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
94,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
95,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
96,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
97,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
98,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
99,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
100,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
101,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
102,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
103,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
104,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
105,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
106,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
107,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
108,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
109,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
110,adam,2.460850354200404,1.1158102635290792,1.449342740893692,1.0328111645992248,260.9394069483444,194.96332455970946,105.45778667510044,0.1,0.1,0.1,0.1
