concentration,k(c)
0.650842896,-0.00721626
0.706198987,-0.0074087903
0.60762983,-0.0075597167
0.678761108,-0.007740207
0.621427471,-0.008190885
0.013559952,-0.0027852133
0.012691491,-0.0025289431
0.0126,-0.0022152588
0.0126,-0.0018827841
0.012678082,-0.002395548
0.0126,-0.0021060482
0.0126,-0.0017614216
0.0126,-0.001984179
0.0126,-0.0016620979
0.241516848,-0.0076976493
0.385128474,-0.007834949
0.522354049,-0.007999472
0.325338752,-0.008400828
0.448030797,-0.008624367
0.549654974,-0.008866087
0.40539321,-0.0091576055
0.429599423,-0.00952033
0.357995447,-0.009925805
0.0126,-0.0034359246
0.0126,-0.0031667054
0.0126,-0.0029705688
0.0126,-0.002854608
0.0126,-0.0029553324
0.0126,-0.0026515499
0.0126,-0.0024306923
0.0126,-0.0024366602
0.0126,-0.0021004602
0.081918792,-0.008520782
0.154661635,-0.008956619
0.396183485,-0.009425476
0.03802092,-0.0086988285
0.364243425,-0.009302698
0.190666659,-0.009959273
0.325182202,-0.008875243
0.030020901,-0.009661339
0.074978981,-0.009156205
0.0126,-0.0043439716
0.0126,-0.0042949393
0.0126,-0.0041093975
0.0126,-0.003680855
0.0126,-0.0038905367
0.0126,-0.0038130954
0.0126,-0.0035947636
0.0126,-0.0033931509
0.0126,-0.0032890514
0.049381529,-0.0073267967
0.08012194,-0.007868074
0.334578362,-0.008476086
0.110560338,-0.007318586
0.284429592,-0.0079533905
0.110456027,-0.008671232
0.237630814,-0.0074248463
0.113515248,-0.008164711
0.090191121,-0.0076496676
0.013396238,-0.005090274
0.014442516,-0.0044956505
0.014250188,-0.0037181452
0.0126,-0.0029062778
0.0126,-0.0046624467
0.0126,-0.0040398315
0.0126,-0.0032588616
0.0126,-0.004191987
0.0126,-0.0035474375
0.076244429,-0.0060660094
0.086849448,-0.0065262467
0.221802634,-0.0070514157
0.109634837,-0.0061386675
0.178327364,-0.0066609606
0.119582515,-0.0072624385
0.143008997,-0.006269425
0.146704815,-0.006873712
0.160673534,-0.0064875707
0.033673157,-0.0040858686
0.015959364,-0.003297396
0.0126,-0.002683349
0.0126,-0.0022996664
0.027300577,-0.0037160292
0.015115997,-0.0029518604
0.0126,-0.0023734495
0.017512987,-0.0033232495
0.012623947,-0.0025878698
0.115936287,-0.0052309856
0.137835475,-0.005594738
0.154376843,-0.0060113
0.124936398,-0.005306877
0.151352908,-0.005723886
0.160673534,-0.0062051564
0.134067817,-0.0054438934
0.164787591,-0.0059333667
0.150589426,-0.0056760907
0.012605893,-0.003016606
0.0126,-0.0027379468
0.0126,-0.0025890097
0.0126,-0.0024772137
0.0126,-0.0027768463
0.0126,-0.0025397614
0.0126,-0.002437733
0.0126,-0.0025393292
0.0126,-0.0023441985
0.081829829,-0.0046714246
0.101453754,-0.004969187
0.126393472,-0.0053030252
0.093687559,-0.0048009455
0.116740047,-0.005135998
0.141127244,-0.005509548
0.111687168,-0.0050025657
0.133698105,-0.005380638
0.124010282,-0.005296968
0.0126,-0.002580814
0.0126,-0.0027041063
0.0126,-0.002850853
0.0126,-0.0023992062
0.013365319,-0.002503343
0.0126,-0.002632767
0.022060133,-0.0022106916
0.015412704,-0.0023360625
0.025427125,-0.0019469932
0.077310771,-0.0043848082
0.092412132,-0.0046550483
0.110952393,-0.0049582124
0.089981458,-0.0045281574
0.107477105,-0.004861176
0.124010282,-0.0052372813
0.103778265,-0.004740402
0.124010282,-0.0051520914
0.105357702,-0.005034521
0.0126,-0.0015578568
0.015432178,-0.0016024038
0.021753927,-0.0017458424
0.012858156,-0.0018331707
0.013790533,-0.0019297972
0.016769419,-0.0020889342
0.0126,-0.0021343604
0.013145742,-0.002248861
0.0126,-0.0024287924
0.105357702,-0.004854858
0.0858592,-0.0046315193
0.066027007,-0.004363388
0.095374738,-0.0045212433
0.08566709,-0.0043101236
0.074870497,-0.004066579
0.074405003,-0.004107468
0.065256089,-0.003878452
0.055613089,-0.003780447
0.0126,-0.0021822304
0.012651225,-0.0020693466
0.013096397,-0.0020186082
0.013647402,-0.0020551756
0.0126,-0.0019647926
0.012617449,-0.001839973
0.012968115,-0.001788035
0.0126,-0.0017567277
0.012635671,-0.0016222224
0.035710466,-0.003188461
0.050270927,-0.003476344
0.064707315,-0.0038628206
0.036263982,-0.0031441972
0.050732936,-0.0035092905
0.066027007,-0.003999345
0.035245312,-0.0031455308
0.03604899,-0.0036070943
0.03604899,-0.0031996444
0.019174798,-0.0025636032
0.021017033,-0.0026479587
0.02696591,-0.002849497
0.015438424,-0.0023685023
0.016770667,-0.002496019
0.015735362,-0.0027704313
0.013523924,-0.002197452
0.015735362,-0.00238318
0.064230064,-0.002692327
0.072240913,-0.0026877224
0.074581485,-0.002739951
0.050205839,-0.0028634816
0.050648305,-0.0027690008
0.051660495,-0.0028577521
0.023496751,-0.0029595345
0.020899249,-0.0028230473
0.017435374,-0.0026819482
0.029373364,-0.0029288903
0.026864823,-0.002794981
0.036368617,-0.0028946772
0.013725144,-0.002864875
0.014766422,-0.0027740002
0.017712895,-0.0029148236
0.020515391,-0.0027165487
0.031585976,-0.0026363954
0.017923536,-0.0027647242
0.052366592,-0.0026780814
0.060152885,-0.0027272478
0.068307115,-0.0027745962
0.047531661,-0.0027163774
0.054177898,-0.0027648732
0.041882923,-0.0027584508
0.041213895,-0.0026021376
0.030666216,-0.002562113
0.036069428,-0.0025345609
0.036313336,-0.0026835427
0.030248084,-0.0026055723
0.039613692,-0.0026408061
0.019286682,-0.002492927
0.014346644,-0.0024681836
0.020590925,-0.0023895726
0.046547049,-0.0028438643
0.04736803,-0.00269866
0.03651125,-0.0028174594
0.0126,-0.0025294647
0.014266635,-0.0026393384
0.013872484,-0.0024260655
0.036749387,-0.0028966442
0.039907843,-0.0028523281
0.040937859,-0.0028062165
0.050847018,-0.0028572753
0.05294198,-0.0028120503
0.066118651,-0.0028204992
0.02825183,-0.0029079542
0.026590255,-0.0029228106
0.026492239,-0.0029423013
0.032755992,-0.00286372
0.02943772,-0.0028790757
0.03438144,-0.0028178692
0.073112578,-0.0028493702
0.089509971,-0.0028556362
0.062658042,-0.002910018
0.042622586,-0.0029216036
0.057136167,-0.0028845146
0.047563359,-0.002945505
0.02128149,-0.003042467
0.023568959,-0.0031243637
0.02549737,-0.0032053068
0.018361162,-0.0029975027
0.021589909,-0.0030793026
0.01529985,-0.002947472
0.041147263,-0.0029856786
0.041928114,-0.0029846951
0.041906792,-0.0029695258
0.032250896,-0.0031078756
0.031143683,-0.0030978397
0.024764318,-0.0032220334
0.035596893,-0.0029837564
0.026935186,-0.0029631183
0.023283643,-0.0031193495
0.028927627,-0.0030658394
