x,y,abs_error_t71
9.685321,38.082584,0.035306394
11.564095,36.468864,0.11203042
11.494565,36.253357,0.14982206
11.4250345,36.03785,0.16453296
11.355504,35.822342,0.16148096
11.735493,36.345623,0.14180592
11.667287,36.13195,0.18098688
11.599081,35.918278,0.19890833
11.909539,36.22605,0.17786887
11.842658,36.014214,0.21464199
12.086235,36.11015,0.21871579
2.1219835,35.912125,0.29155326
1.8058988,36.25512,0.30475926
1.4898139,36.598114,0.31018895
1.7350696,35.79215,0.279032
1.4223251,36.134678,0.28580588
1.1095805,36.47721,0.29229945
1.3481557,35.672176,0.24232465
1.0387514,36.01424,0.24091196
0.9612417,35.5522,0.19187945
9.966084,36.761005,0.022844315
10.282975,36.847897,0.0012369156
10.599866,36.934788,0.0043626428
10.916758,37.021683,0.02180624
10.025846,37.065807,0.008407772
10.344675,37.155262,0.02588451
10.663505,37.24472,0.022313833
10.085608,37.370613,0.035039186
10.406375,37.46263,0.0484792
10.833222,36.774853,0.040908754
10.749686,36.528023,0.055635512
10.666151,36.281197,0.06809932
11.128115,36.831535,0.04511687
11.04679,36.587643,0.077444136
10.965466,36.34375,0.0949446
11.343894,36.647263,0.076018095
11.26478,36.406307,0.1150192
12.52616,35.69359,0.17954412
12.388285,35.843197,0.195568
12.241643,35.98205,0.22197902
12.307179,35.604115,0.18320939
12.164921,35.748344,0.20560592
12.013896,35.88182,0.21388745
12.0882,35.51464,0.19232553
11.941558,35.653492,0.20410514
11.869219,35.425167,0.17669392
2.0759482,34.463024,0.16818553
1.7043794,34.82608,0.20652801
1.3328105,35.18914,0.21232945
1.6320688,34.238457,0.16337234
1.2548895,34.602432,0.19747841
0.8777102,34.966408,0.17611122
1.1881893,34.013893,0.16361964
0.8053996,34.378784,0.18827909
0.74430984,33.789326,0.16548961
13.059776,35.122444,0.00786224
12.878378,35.308624,0.060338587
12.700506,35.499004,0.116533786
12.815469,35.037327,0.056530923
12.635834,35.22561,0.11160028
12.459724,35.41809,0.15260941
12.571161,34.95221,0.10751748
12.39329,35.14259,0.14762056
12.326854,34.867092,0.14081943
2.166426,32.728203,0.07673836
1.6923873,33.081913,0.068181336
1.2183486,33.43562,0.0928756
1.6512784,32.432735,0.05279106
1.1706712,32.78705,0.06475073
0.6900641,33.141365,0.086645305
1.1361307,32.137264,0.08100873
0.6489551,32.492188,0.09508622
0.62098294,31.841797,0.093288064
12.921279,34.1687,0.048741102
13.2176,34.242,0.12064627
13.513921,34.3153,0.1816678
13.810242,34.3886,0.22180238
12.967444,34.486618,0.042037755
13.263388,34.55922,0.12674397
13.559331,34.631824,0.20085731
13.01361,34.80453,0.026446134
13.3091755,34.87644,0.11599937
13.591622,33.38472,0.15062803
13.933412,33.445305,0.17280525
14.275202,33.50589,0.18977442
14.616991,33.56648,0.21121773
13.664495,33.719345,0.15811837
14.007419,33.781197,0.17851633
14.350342,33.843044,0.21728048
13.737369,34.053974,0.17817333
14.081426,34.117085,0.21183205
14.400628,32.71706,0.16521859
14.700843,32.77092,0.14805734
15.001058,32.824783,0.12719813
15.301272,32.878647,0.10900429
14.472749,33.0002,0.16970417
14.771416,33.052834,0.15400508
15.070083,33.10547,0.14549094
14.54487,33.283337,0.1831635
14.8419895,33.334747,0.18353885
2.199348,30.855951,0.026123941
1.6732264,31.184566,0.013632476
1.1471046,31.513182,0.048748493
1.670961,30.533825,0.00445807
1.1384655,30.86253,0.028895676
0.60597,31.191233,0.059126496
1.142574,30.211699,0.039368153
0.6037047,30.540491,0.04838121
0.6141869,29.889572,0.086814284
15.138894,32.214714,0.117446005
15.37001,32.272934,0.10389459
15.601127,32.331158,0.08847785
15.832242,32.38938,0.06111008
15.19302,32.436024,0.11610991
15.42317,32.4934,0.102344155
15.65332,32.550777,0.08567569
15.247147,32.657333,0.11275679
15.47633,32.713863,0.09839177
15.649534,31.891598,0.08647269
15.833046,31.91312,0.0696674
16.016558,31.934645,0.055662513
16.20007,31.95617,0.04148203
15.710437,32.057526,0.07416248
15.90054,32.084446,0.057646275
16.090645,32.111366,0.031303108
15.771339,32.223454,0.07149625
15.968035,32.255768,0.05662352
2.2797499,28.991318,0.04599303
1.7245623,29.290735,0.041380227
1.1693746,29.590153,0.07213402
1.7599926,28.64095,0.07283914
1.198614,28.93994,0.11071265
0.6372354,29.23893,0.13853395
1.2402353,28.290583,0.14740837
0.6726658,28.589144,0.17847157
0.72047794,27.940216,0.20726073
16.072948,31.767452,0.064558625
15.945827,31.578735,0.07834631
15.818705,31.39002,0.094828784
16.312374,31.782137,0.045353472
16.185835,31.594013,0.06771821
16.059298,31.40589,0.078229904
16.425846,31.609291,0.054729998
16.29989,31.42176,0.0724079
16.540483,31.437632,0.055351555
2.4302886,27.107105,0.00043225288
1.8603517,27.38481,0.05188459
1.2904148,27.662512,0.13209647
1.9325256,26.73807,0.036435127
1.356562,27.014824,0.055678308
0.7805984,27.291578,0.073556185
1.4347628,26.369036,0.10696393
0.8527724,26.64484,0.09368467
0.937,26.0,0.2025075
16.958448,30.716629,0.03641635
16.825024,30.960714,0.045230925
16.685701,31.201048,0.05381924
16.665253,30.70676,0.058038533
16.52888,30.948969,0.07010758
16.386608,31.187428,0.07559478
16.372057,30.696892,0.069875
16.232735,30.937225,0.0792771
16.078861,30.687023,0.07322955
2.6549435,25.223146,0.034199297
2.0822957,25.482098,0.07352406
1.5096478,25.741049,0.1454696
2.188097,24.841393,0.06820661
1.6106178,25.099352,0.13837439
1.0331384,25.357311,0.20703816
1.7212508,24.459639,0.14478397
1.1389399,24.716606,0.15862584
1.2544043,24.077885,0.16466886
16.421799,29.755676,0.015042126
16.779427,29.748188,0.013162255
17.137056,29.7407,0.014681399
17.494684,29.733212,0.039891332
16.600681,30.075993,0.029372573
16.956474,30.067392,0.021052599
17.312267,30.058792,0.033835113
16.779564,30.39631,0.041891575
17.133522,30.386599,0.025861442
3.0792994,20.171354,0.10605717
2.7153385,20.300205,0.100997806
2.3513775,20.429056,0.11084813
1.9874164,20.557907,0.13180673
2.8016775,19.89823,0.10715377
2.4381468,20.02715,0.097625375
2.0746162,20.156069,0.1020084
2.5240557,19.625105,0.09578121
2.1609554,19.754093,0.1016044
2.2464337,19.35198,0.08569735
2.8843775,23.369287,0.10906184
2.3410532,23.605486,0.13761562
1.7977288,23.841686,0.16537368
2.4684913,22.972748,0.14492315
1.9225723,23.208395,0.19003624
1.3766532,23.444044,0.20150006
2.0526052,22.576206,0.16041785
1.5040914,22.811304,0.21852332
1.6367188,22.179667,0.18913305
3.0128005,21.665962,0.087914705
2.5541067,21.837196,0.10171157
2.0954127,22.008432,0.1169489
2.6710057,21.29661,0.09462178
2.2118933,21.467733,0.12063414
1.7527809,21.638857,0.16691667
2.329211,20.92726,0.12112832
1.8696802,21.09827,0.17690492
3.0781326,19.06455,0.07750255
2.8008997,19.16036,0.07572198
2.5236669,19.25617,0.07841414
2.8637395,18.86126,0.067221045
2.5862007,18.957045,0.06300509
2.3086617,19.05283,0.07304907
2.6493464,18.657967,0.05530584
2.3715014,18.753729,0.048814833
2.4349532,18.454676,0.036934912
2.4876964,18.216167,0.022095263
2.5571673,17.983292,0.027138174
2.643366,17.756048,0.03463
2.65789,18.412807,0.049776793
2.718997,18.177116,0.05329436
2.7968318,17.947056,0.06267494
2.8808267,18.370941,0.07018709
2.9502976,18.138065,0.07965934
3.1037633,18.329073,0.088348925
16.894823,28.543072,0.0072364807
