step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
80,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
81,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
82,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
83,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
84,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
85,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
86,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
87,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
88,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
89,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
90,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
91,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
92,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
93,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
94,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
95,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
96,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
97,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
98,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
99,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
100,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
101,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
102,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
103,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
104,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
105,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
106,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
107,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
108,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
109,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
110,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
111,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
112,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
113,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
114,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
115,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
116,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
117,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
118,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
119,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
120,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
121,adam,144.4465482869229,4.999998953520929,1.1426595184328545,0.9999999998398915,271.0,180.82700185564065,190.00081
