step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss
65,adam,0.031969103181073745,0.05806085839867592,0.03633798791035529,0.05651459434340077,1.6398071297331745e-05,0.00014514587077898004,1.0403068640221869e-07,3.6556002709173385
66,adam,0.030866560436064196,0.05772028947549482,0.03668982403412942,0.05559504620971218,1.8062905867062058e-05,0.0001504567377607248,1.0377437988498997e-07,3.5433187946196525
67,adam,0.02980488292392223,0.05736656222612627,0.03649661089143445,0.054875017053657965,1.980462401397451e-05,0.00015080585745313476,1.0314953387493123e-07,3.4338132566021335
68,adam,0.02887974222821574,0.05698188214052108,0.03654163318776315,0.05432981216619091,2.1680644309643896e-05,0.00015545649606088597,1.0295937613591377e-07,3.339178846728417
69,adam,0.027944475832966068,0.056730439465853474,0.03665047463390135,0.05331290777652494,2.3600112868852222e-05,0.00015769476557315717,1.0229162915992116e-07,3.2433676950393187
70,adam,0.02716462211983819,0.05650820583105087,0.03665612529843084,0.052640201463814706,2.5582879384127146e-05,0.00016289071420267704,1.0178992822822633e-07,3.164205781875118
71,adam,0.02639457817760206,0.05614226828179052,0.03628607442782771,0.051683796269278375,2.7450381880513424e-05,0.00016666235845355738,1.0112126556893394e-07,3.0843213219796457
72,adam,0.025739976415230383,0.05586322697420274,0.03595607980124412,0.051225613201818156,2.9365147354603265e-05,0.00017082650306439326,1.0056169551555813e-07,3.01716516094823
73,adam,0.02523052301858702,0.05587699769004699,0.03554700134742644,0.05038702055331199,3.126163051826053e-05,0.00017269802018774733,1.0029912911682737e-07,2.9652988603038173
74,adam,0.024745908055093982,0.05562724665768685,0.0352841493102812,0.049601062291091486,3.318682290902812e-05,0.00017713935108810302,9.9746420843413e-08,2.915243310313071
75,adam,0.024315501112611063,0.055358035429831476,0.03450809719581758,0.04939361709740854,3.483640384435984e-05,0.00018140855066913871,9.919143562434152e-08,2.8705309667894916
76,adam,0.023926849326779766,0.055352879988570365,0.03379273258389965,0.04843990360536883,3.6528926190634766e-05,0.00018077341449116506,9.876603620972263e-08,2.8298149493432816
77,adam,0.023671344583553654,0.0551887289170296,0.03308057875162171,0.04801365552890685,3.798302984045398e-05,0.00018558983227253082,9.82337691047794e-08,2.8032165342761624
78,adam,0.023403727840031346,0.0551228811663966,0.03264199924324789,0.04762177049152313,3.964825232434387e-05,0.00018870889259907869,9.774039412949634e-08,2.775941994882399
79,adam,0.023157236857279655,0.05503187124286928,0.031731021260061575,0.047212150909246936,4.0885325424530875e-05,0.000189049901241707,9.72510846046985e-08,2.7495632863813833
80,adam,0.022956891886649594,0.05480138008152285,0.03109125029896536,0.04663701968327645,4.203064611741162e-05,0.00018681871475681902,9.682655296904657e-08,2.7267070585681545
81,adam,0.022852540797283574,0.05483198105808227,0.030515722269492764,0.046567459019922444,4.3187858776241964e-05,0.00018897648119638042,9.644212665747428e-08,2.71631960715017
82,adam,0.02262700547374064,0.05461795303610063,0.030026345363547726,0.04607812711788762,4.4148951635560804e-05,0.0001891102776074061,9.595001782350488e-08,2.6916602196231967
83,adam,0.022568508802402402,0.054619195720841805,0.029845073098136533,0.04565114780299125,4.505404367885222e-05,0.0001874173772633977,9.537855672284246e-08,2.6850050726244525
84,adam,0.022491403945511388,0.054530519271089185,0.02925021724114495,0.045590454532254125,4.6149377017319506e-05,0.0001885144423971313,9.484115078946836e-08,2.676513925675423
85,adam,0.02243891388418213,0.054657820371850845,0.029092919201620163,0.045439464670996514,4.6735854876685824e-05,0.0001865133630006664,9.43596217076271e-08,2.671310455568375
86,adam,0.022311945535963582,0.054349190645640894,0.028543422178876017,0.04505770256923091,4.7289038423426266e-05,0.00018449374117828426,9.378550088505958e-08,2.655658075886388
87,adam,0.022255045692286184,0.05445867812921924,0.028247715965394053,0.04460903329233969,4.7946825596286104e-05,0.0001861596538219601,9.351820846030668e-08,2.650188861354705
88,adam,0.022209340285870335,0.054230842499002334,0.028077575648503918,0.04482889872404837,4.837926345287762e-05,0.00018208977135439073,9.302024177449928e-08,2.6437333245431223
89,adam,0.022201254543277524,0.054288046494607,0.02786753332662967,0.04437940315373482,4.878817086254487e-05,0.00017618230401328014,9.26415188290218e-08,2.6415130707525436
90,adam,0.022136166090926817,0.054162000576334614,0.027768891725328662,0.044168532255195805,4.909044465391837e-05,0.00018082021251170625,9.202730001700935e-08,2.6349094683124172
91,adam,0.02212940372766987,0.05421359284270194,0.02778125974920488,0.04421845414946156,4.9692629662815545e-05,0.00017494043324052568,9.149357309055514e-08,2.633558727079822
92,adam,0.02203846188081849,0.05392138912312446,0.027333272080267628,0.043949943756864916,4.9854970829103205e-05,0.00017163740994874388,9.124487006822105e-08,2.621525518355831
93,adam,0.022056563847487973,0.05415861248489349,0.02740467171515188,0.04383575603846581,4.992348746576857e-05,0.00017404225100988463,9.061663958266675e-08,2.6250301484138734
94,adam,0.02209079529969923,0.05414696638622592,0.027154053291005474,0.04366370963473474,5.026271314671894e-05,0.0001690187636995688,9.044465638079336e-08,2.627108120149182
95,adam,0.02198338965254445,0.0538222506161659,0.027094928667910637,0.04349698643049886,5.047801682995933e-05,0.00016783575870982941,8.992742871507817e-08,2.6141488629002727
96,adam,0.021973954273327705,0.05377891167036949,0.02701804588638967,0.04385704547166824,5.0582822187871284e-05,0.00016261886142479676,8.925193613564378e-08,2.6122795381853656
97,adam,0.021943970553336606,0.05372777196668809,0.026875275337407665,0.04321298183452699,5.081016957598378e-05,0.0001603419392091793,8.893279311538912e-08,2.607807197878438
98,adam,0.021960431709885597,0.05369774901097821,0.02680741250514984,0.043378311780191234,5.069763503871077e-05,0.00015602125260498253,8.839284733554567e-08,2.60856443835843
99,adam,0.021938581560407917,0.05357427065891604,0.026855286451116685,0.04319538680776473,5.066900085958261e-05,0.00015514855171673962,8.78979169592933e-08,2.605402861872027
100,adam,0.021913226693868637,0.053641673898504626,0.026814825231990507,0.04274176361580049,5.0865065385287084e-05,0.00015468765266104452,8.751680865308967e-08,3.5486530103991107
101,adam,0.021910861134529114,0.0536361416020701,0.02649677376593313,0.04286152797360574,5.106946346425121e-05,0.0001522867096355185,8.667507543233085e-08,3.547661050673454
102,adam,0.021847683996442827,0.05345866024013488,0.026514453452921683,0.04241249469980117,5.086052201917365e-05,0.00015476409527998897,8.594887966930928e-08,3.5376103001256145
103,adam,0.021811335437720823,0.05345739255989752,0.026308835934727423,0.04214556334960845,5.0815315438329334e-05,0.00014871928132995362,8.508797463029564e-08,3.5307461984695925
104,adam,0.021805387170564745,0.05339074303065577,0.02623569298415415,0.04222734596940779,5.090413340498813e-05,0.0001538081668249722,8.442147316695663e-08,3.530496120452881
105,adam,0.021865619346499443,0.053457351942216194,0.026206985957199527,0.04212427860306155,5.082984259183098e-05,0.0001481589513845862,8.368937439825224e-08,3.5383519049613708
106,adam,0.021772898012591947,0.05344735794971066,0.0263206634309984,0.04215126160171724,5.0888680444557156e-05,0.00014852234603641854,8.30086739989794e-08,3.525146961212158
107,adam,0.021851626074602528,0.05339583946812537,0.026270787441922773,0.04221951060237423,5.05138803771021e-05,0.00014637580616474753,8.239030011641408e-08,3.535782806334957
108,adam,0.021777568685431636,0.05326960151714663,0.026538504347685846,0.041852719721294215,5.0638661993997955e-05,0.00014525995075312113,8.173877162217621e-08,3.5242252349853516
109,adam,0.021740969090211774,0.05325765330945292,0.02599600570336465,0.04199418293372277,5.0657488886387116e-05,0.00014293826778509442,8.098767844169361e-08,3.517985613115372
110,adam,0.021770599147965832,0.05328489936167194,0.026046470108051455,0.042052703879533276,5.042102178953017e-05,0.00014462720437516128,8.063951983580586e-08,3.522759222215222
