concentration,mu_h(c)
0.554921904,-0.08746995
0.525680525,-0.009087636
0.026973281,-0.39750338
0.016537716,-0.5319042
0.014456308,-0.6761079
0.0126,-0.8254571
0.018953501,-0.49466038
0.012688214,-0.6347728
0.0126,-0.78312254
0.013038734,-0.5866709
0.0126,-0.7347038
0.631637943,-0.2370624
0.640992813,-0.25472534
0.646106624,-0.27433923
0.58393571,-0.1546811
0.592442769,-0.17150563
0.596508499,-0.1883981
0.547641077,-0.089470804
0.551484009,-0.10608421
0.514962081,-0.023726843
0.0126,-0.96401215
0.014570887,-0.856339
0.023228621,-0.74029136
0.032634273,-0.6171
0.0126,-1.0035474
0.015877164,-0.89418554
0.023986551,-0.77673316
0.0126,-1.0422769
0.013521165,-0.93201137
0.0126,-1.0804048
0.022098283,-0.4732442
0.014565145,-0.63645554
0.0126,-0.8017292
0.02467006,-0.5994041
0.013111734,-0.7569101
0.0126,-0.91421795
0.016125792,-0.71595454
0.0126,-0.8684981
0.5981987,-0.38637203
0.573953022,-0.26793393
0.539641652,-0.15243539
0.506189024,-0.045186006
0.608155659,-0.3442459
0.579862063,-0.22997975
0.544555919,-0.122100905
0.626435516,-0.3057928
0.586956011,-0.19817623
0.012605595,-0.99462247
0.012867401,-0.90520716
0.013439441,-0.81327224
0.0126,-1.1196828
0.0126,-1.0364811
0.0126,-0.9503362
0.0126,-1.1609411
0.0126,-1.0805726
0.0126,-1.2036238
0.53033731,-0.10857925
0.56036779,-0.20700657
0.593418463,-0.3006967
0.600068955,-0.24909702
0.646635609,-0.3478943
0.658165197,-0.4340642
0.674765453,-0.39256406
0.699341693,-0.47664016
0.701354967,-0.51198745
0.589790909,-0.26294795
0.637252864,-0.3607486
0.689042155,-0.4455232
0.642586001,-0.39354688
0.6929744,-0.47630352
0.702256706,-0.5368575
0.705427038,-0.5025752
0.71384332,-0.5562786
0.735291036,-0.57075703
0.759078676,-0.5786768
0.758951088,-0.58448577
0.765809379,-0.5884769
0.729631082,-0.52880037
0.74781052,-0.5414963
0.747965019,-0.55150986
0.695606176,-0.4636287
0.717124646,-0.47998184
0.656676354,-0.37602258
0.0126,-1.2749808
0.0126,-1.2584679
0.0126,-1.2345862
0.0126,-1.1746659
0.0126,-1.1527805
0.0126,-1.1235487
0.0126,-1.0685966
0.0126,-1.0410492
0.0126,-0.9563439
0.785566078,-0.59254
0.76369965,-0.5712005
0.734368135,-0.52901745
0.698795287,-0.46022695
0.779968781,-0.5917411
0.759166356,-0.56854224
0.730440871,-0.52371275
0.765809379,-0.59040153
0.754174157,-0.56491923
0.013279502,-1.0386636
0.012877477,-1.1408784
0.012770421,-1.2374766
0.01271372,-1.3305147
0.0126,-1.1172967
0.0126,-1.214813
0.0126,-1.3073356
0.0126,-1.1965528
0.0126,-1.2898443
0.78787136,-0.59396744
0.793626405,-0.59500813
0.800760492,-0.59564483
0.77013526,-0.5773269
0.775046214,-0.5803046
0.781107376,-0.5826421
0.753989465,-0.5507302
0.759753859,-0.5559577
0.737980219,-0.5076337
0.012658296,-1.4580212
0.01280114,-1.402832
0.012813244,-1.3623073
0.01319202,-1.3469796
0.013305428,-1.2999673
0.013080275,-1.2629838
0.013788709,-1.2424533
0.013782016,-1.1995258
0.017741346,-1.1400948
0.730297738,-0.5273318
0.76736345,-0.56339204
0.786506964,-0.58420146
0.754005858,-0.5607774
0.789662913,-0.58299005
0.806854601,-0.59503424
0.777013484,-0.57820415
0.806854601,-0.59227264
0.799373614,-0.5860133
0.012927764,-1.3068697
0.012702081,-1.4118588
0.012610571,-1.5288262
0.0126,-1.6552055
0.01295793,-1.3594656
0.012712335,-1.4665816
0.0126,-1.5844533
0.012895394,-1.4089303
0.012613164,-1.5170181
0.774762334,-0.56916976
0.748750764,-0.53664255
0.726707193,-0.4825666
